ADMIN0,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,period_ML1,period_ML2
Somalia,2009-07-01,20.723438262939453,0.0,0.0,11660247.0,0.0,20.723438262939453,0.0,0.0,11660247.0,0.0,20.723438262939453,0.0,0.0,11660247.0,0.0,0.0,0.0,0.0,20.723438262939453,11660267.723438263,20.723438262939453,11660267.723438263,20.723438262939453,11660267.723438263,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.723438262939453,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.723438262939453,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.723438262939453,100.0,0.0,0.0,Jul - Sep 2009,Oct - Dec 2009
Somalia,2009-10-01,20.723438262939453,6801017.0,4859230.5,,0.0,0.0,0.0,4859230.0,,0.0,0.0,0.0,4859230.0,,0.0,0.0,0.0,0.0,11660268.223438263,11660268.223438263,4859230.0,4859230.0,4859230.0,4859230.0,0.0,0.00017772694303277986,58.32641985309823,41.673402419958734,0.0,11660247.5,99.99982227305696,4859230.5,41.673402419958734,20.723438262939453,0.00017772694303277986,0.0,0.0,0.0,100.0,0.0,4859230.0,100.0,4859230.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4859230.0,100.0,4859230.0,100.0,0.0,0.0,0.00017772694303630487,0.00017772694303630487,Oct - Dec 2009,Jan - Mar 2010
Somalia,2010-01-01,3070511.5,4317091.0,4599492.5,,0.0,3070511.5,4317072.0,4599510.5,,0.0,2390829.0,4964802.5,4631466.0,,0.0,0.0,0.0,0.0,11987095.0,11987095.0,11987094.0,11987094.0,11987097.5,11987097.5,0.0,25.615142784803158,36.01448891495396,38.37036830024289,0.0,8916583.5,74.38485721519685,4599492.5,38.37036830024289,3070511.5,25.615142784803158,0.0,25.61514492169662,36.01433341558847,38.37052166271492,0.0,8916582.5,74.38485507830337,4599510.5,38.37052166271492,3070511.5,25.61514492169662,0.0,19.94502005176816,41.41788702394387,38.63709292428797,0.0,9596268.5,80.05497994823185,4631466.0,38.63709292428797,2390829.0,19.94502005176816,5.670122733035001,-2.13689347106083e-06,Jan - Mar 2010,Apr - Jun 2010
Somalia,2010-04-01,3003964.0,4292968.5,4690164.0,,0.0,3003964.0,4292968.5,4690164.0,,0.0,3108558.5,5978123.5,2900414.25,,0.0,0.0,0.0,0.0,11987096.5,11987096.5,11987096.5,11987096.5,11987096.25,11987096.25,0.0,25.059980121124408,35.81324718625565,39.12677269261994,0.0,8983132.5,74.94001987887559,4690164.0,39.12677269261994,3003964.0,25.059980121124408,0.0,25.059980121124408,35.81324718625565,39.12677269261994,0.0,8983132.5,74.94001987887559,4690164.0,39.12677269261994,3003964.0,25.059980121124408,0.0,25.93253975081747,49.87132309044402,24.196137158738505,0.0,8878537.75,74.06746024918253,2900414.25,24.196137158738505,3108558.5,25.93253975081747,-0.8725596296930576,0.0,Apr - Jun 2010,Jul - Sep 2010
Somalia,2010-07-01,6806351.5,2885028.25,2295718.75,,0.0,6806351.5,2885028.25,2295718.75,,0.0,3557910.5,5665720.0,2763467.75,,0.0,0.0,0.0,0.0,11987098.5,11987098.5,11987098.5,11987098.5,11987098.25,11987098.25,0.0,56.78064212119388,24.067777953105164,19.151579925700954,0.0,5180747.0,43.21935787880612,2295718.75,19.151579925700954,6806351.5,56.78064212119388,0.0,56.78064212119388,24.067777953105164,19.151579925700954,0.0,5180747.0,43.21935787880612,2295718.75,19.151579925700954,6806351.5,56.78064212119388,0.0,29.681165748349482,47.26515026270015,23.05368398895037,0.0,8429187.75,70.31883425165051,2763467.75,23.05368398895037,3557910.5,29.681165748349482,27.099476372844393,0.0,Jul - Sep 2010,Oct - Dec 2010
Somalia,2010-10-01,6347001.5,1666470.625,3973626.0,,0.0,5368685.5,2920178.0,3698235.25,,0.0,5368667.5,2559765.75,4058665.5,,0.0,0.0,0.0,0.0,11987098.125,11987098.125,11987098.75,11987098.75,11987098.75,11987098.75,0.0,52.9486071926186,13.902202247969,33.149190559412396,0.0,5640096.625,47.05139280738139,3973626.0,33.149190559412396,6347001.5,52.9486071926186,0.0,44.78719673515662,24.36100728710523,30.85179597773815,0.0,6618413.25,55.21280326484338,3698235.25,30.85179597773815,5368685.5,44.78719673515662,0.0,44.78704657371743,21.354339389253802,33.858614037028765,0.0,6618431.25,55.212953426282574,4058665.5,33.858614037028765,5368667.5,44.78704657371743,8.161560618901184,8.16141045746199,Oct - Dec 2010,Jan - Mar 2011
Somalia,2011-01-01,6533228.285293579,1698990.0670471191,4085611.357070923,,0.0,4898322.987625122,3472567.902557373,3946938.819229126,,0.0,6176753.36390686,3050691.5359344482,3090384.8095703125,,0.0,0.0,0.0,0.0,12317829.709411621,12317829.709411621,12317829.709411621,12317829.709411621,12317829.709411621,12317829.709411621,0.0,53.03879367890407,13.79293355345691,33.16827276763902,0.0,5784601.424118042,46.96120632109593,4085611.357070923,33.16827276763902,6533228.285293579,53.03879367890407,0.0,39.76612035708275,28.191393975061256,32.04248566785599,0.0,7419506.721786499,60.233879642917245,3946938.819229126,32.04248566785599,4898322.987625122,39.76612035708275,0.0,50.144818605402705,24.76646948287913,25.088711911718164,0.0,6141076.345504761,49.855181394597295,3090384.8095703125,25.088711911718164,6176753.36390686,50.144818605402705,2.893975073501366,13.272673321821316,Jan - Mar 2011,Apr - Jun 2011
Somalia,2011-04-01,6470810.965591431,1761407.3867492676,4085611.357070923,,0.0,2654093.1345214844,5571023.765426636,4092712.809463501,,0.0,1861516.8186035156,5846798.153991699,4609514.736816406,,0.0,0.0,0.0,0.0,12317829.709411621,12317829.709411621,12317829.709411621,12317829.709411621,12317829.709411621,12317829.709411621,0.0,52.53207032605193,14.299656906309055,33.16827276763902,0.0,5847018.74382019,47.46792967394807,4085611.357070923,33.16827276763902,6470810.965591431,52.53207032605193,0.0,21.54675943030439,45.22731598708506,33.225924582610546,0.0,9663736.574890137,78.45324056969561,4092712.809463501,33.225924582610546,2654093.1345214844,21.54675943030439,0.0,15.112376632234135,47.46613885662315,37.42148451114272,0.0,10456312.890808105,84.88762336776587,4609514.736816406,37.42148451114272,1861516.8186035156,15.112376632234135,37.4196936938178,30.98531089574754,Apr - Jun 2011,Jul - Sep 2011
Somalia,2011-07-01,1923555.623840332,1644031.75,6860911.223083496,,0.0,1923555.623840332,1644031.75,1383822.3780670166,,0.0,1923555.623840332,1644031.75,1383822.3780670166,,0.0,1889331.112487793,7366419.957504272,7366419.957504272,12317829.709411621,12317829.709411621,12317829.709411621,12317829.709411621,12317829.709411621,12317829.709411621,0.0,15.616027086091396,13.346764720605393,55.6990264108077,15.33818178249551,10394274.085571289,84.3839729139086,8750242.335571289,71.03720819330321,1923555.623840332,15.616027086091396,0.0,15.616027086091396,13.346764720605393,11.234303531649626,59.802904661653585,10394274.085571289,84.3839729139086,8750242.335571289,71.03720819330321,1923555.623840332,15.616027086091396,0.0,15.616027086091396,13.346764720605393,11.234303531649626,59.802904661653585,10394274.085571289,84.3839729139086,8750242.335571289,71.03720819330321,1923555.623840332,15.616027086091396,0.0,0.0,Jul - Sep 2011,Oct - Dec 2011
Somalia,2011-10-01,1869213.160949707,3094879.9509887695,4419001.071425438,,0.0,1861516.8186035156,3131651.149904251,4451504.713757515,,0.0,2867840.2569122314,3725485.6038684845,5724503.816052437,,0.0,2934735.4934692383,2873156.994567871,0.0,12317829.676833153,12317829.676833153,12317829.676833153,12317829.676833153,12317829.676833153,12317829.676833153,0.0,15.174857990326357,25.125204944256435,35.87483499415897,23.825102071258243,10448616.515883446,84.82514200967364,7353736.564894676,59.69993706541721,1869213.160949707,15.174857990326357,0.0,15.11237667220368,25.423725055998514,36.13870974470214,23.325188527095662,10456312.858229637,84.88762332779632,7324661.708325386,59.4638982717978,1861516.8186035156,15.11237667220368,0.0,23.28202558528588,30.24465917786815,46.47331523684598,0.0,9449989.419920921,76.71797441471412,5724503.816052437,46.47331523684598,2867840.2569122314,23.28202558528588,-8.10716759495952,0.06248131812267843,Oct - Dec 2011,Jan - Mar 2012
