,date,ADMIN1,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2
20,2009-10-01,Banadir,0.0,41647.6171875,1346439.75,,0.0,0.0,41647.6171875,1346439.75,,0.0,0.0,41647.6171875,1346439.75,,0.0,0.0,0.0,0.0,1388087.3671875,1388087.3671875,1388087.3671875,1388087.3671875,1388087.3671875,1388087.3671875
21,2009-10-01,Bari,0.0,595480.546875,0.0,,0.0,0.0,595480.546875,0.0,,0.0,0.0,595480.546875,0.0,,0.0,0.0,0.0,0.0,595480.546875,595480.546875,595480.546875,595480.546875,595480.546875,595480.546875
22,2009-10-01,Bay,0.0,835813.09375,132872.0170288086,,0.0,0.0,835813.09375,132872.0170288086,,0.0,0.0,835813.09375,132872.0170288086,,0.0,0.0,0.0,0.0,968685.1107788086,968685.1107788086,968685.1107788086,968685.1107788086,968685.1107788086,968685.1107788086
23,2009-10-01,Galgaduud,0.0,0.0,514325.1328125,,0.0,0.0,0.0,514325.1328125,,0.0,0.0,0.0,514325.1328125,,0.0,0.0,0.0,0.0,514325.1328125,514325.1328125,514325.1328125,514325.1328125,514325.1328125,514325.1328125
24,2009-10-01,Gedo,0.0,199486.79067230225,313059.6467895508,,0.0,0.0,199486.79067230225,313059.6467895508,,0.0,0.0,199486.79067230225,313059.6467895508,,0.0,0.0,0.0,0.0,512546.437461853,512546.437461853,512546.437461853,512546.437461853,512546.437461853,512546.437461853
25,2009-10-01,Hiraan,0.0,0.0,512541.125,,0.0,0.0,0.0,512541.125,,0.0,0.0,0.0,512541.125,,0.0,0.0,0.0,0.0,512541.125,512541.125,512541.125,512541.125,512541.125,512541.125
26,2009-10-01,Lower Juba,0.0,592224.47265625,0.0,,0.0,0.0,592224.47265625,0.0,,0.0,0.0,592224.47265625,0.0,,0.0,0.0,0.0,0.0,592224.47265625,592224.47265625,592224.47265625,592224.47265625,592224.47265625,592224.47265625
27,2009-10-01,Lower Shabelle,0.0,1245022.8671875,96432.78442382812,,0.0,0.0,1245022.8671875,96432.78442382812,,0.0,0.0,1245022.8671875,96432.78442382812,,0.0,0.0,0.0,0.0,1341455.6516113281,1341455.6516113281,1341455.6516113281,1341455.6516113281,1341455.6516113281,1341455.6516113281
28,2009-10-01,Middle Juba,0.0,370670.5,0.0,,0.0,0.0,370670.5,0.0,,0.0,0.0,370670.5,0.0,,0.0,0.0,0.0,0.0,370670.5,370670.5,370670.5,370670.5,370670.5,370670.5
29,2009-10-01,Middle Shabelle,0.0,0.0,804763.859375,,0.0,0.0,0.0,804763.859375,,0.0,0.0,0.0,804763.859375,,0.0,0.0,0.0,0.0,804763.859375,804763.859375,804763.859375,804763.859375,804763.859375,804763.859375
30,2009-10-01,Mudug,0.0,0.0,546031.59375,,0.0,0.0,0.0,546031.59375,,0.0,0.0,0.0,546031.59375,,0.0,0.0,0.0,0.0,546031.59375,546031.59375,546031.59375,546031.59375,546031.59375,546031.59375
31,2009-10-01,Nugaal,0.0,85678.6142578125,109200.69921875,,0.0,0.0,85678.6142578125,109200.69921875,,0.0,0.0,85678.6142578125,109200.69921875,,0.0,0.0,0.0,0.0,194879.3134765625,194879.3134765625,194879.3134765625,194879.3134765625,194879.3134765625,194879.3134765625
32,2009-10-01,Sanaag,0.0,419754.8203125,0.0,,0.0,0.0,419754.8203125,0.0,,0.0,0.0,419754.8203125,0.0,,0.0,0.0,0.0,0.0,419754.8203125,419754.8203125,419754.8203125,419754.8203125,419754.8203125,419754.8203125
33,2009-10-01,Sool,0.0,228991.87109375,23.830421447753906,,0.0,0.0,228991.87109375,23.830421447753906,,0.0,0.0,228991.87109375,23.830421447753906,,0.0,0.0,0.0,0.0,229015.70151519775,229015.70151519775,229015.70151519775,229015.70151519775,229015.70151519775,229015.70151519775
34,2009-10-01,Togdheer,0.0,628867.71875,0.0,,0.0,0.0,628867.71875,0.0,,0.0,0.0,628867.71875,0.0,,0.0,0.0,0.0,0.0,628867.71875,628867.71875,628867.71875,628867.71875,628867.71875,628867.71875
35,2009-10-01,Woqooyi Galbeed,0.0,1093734.6953125,0.0,,0.0,0.0,1093734.6953125,0.0,,0.0,0.0,1093734.6953125,0.0,,0.0,0.0,0.0,0.0,1093734.6953125,1093734.6953125,1093734.6953125,1093734.6953125,1093734.6953125,1093734.6953125
36,2010-01-01,Awdal,200096.6875,276087.6953125,0.0,,0.0,200096.6875,276070.13671875,17.54217529296875,,0.0,0.0,476166.83984375,17.54217529296875,,0.0,0.0,0.0,0.0,476184.3828125,476184.3828125,476184.36639404297,476184.36639404297,476184.38201904297,476184.38201904297
37,2010-01-01,Bakool,0.0,309829.09765625,187129.5927734375,,0.0,0.0,309829.09765625,187129.5927734375,,0.0,0.0,309829.09765625,187129.5927734375,,0.0,0.0,0.0,0.0,496958.6904296875,496958.6904296875,496958.6904296875,496958.6904296875,496958.6904296875,496958.6904296875
38,2010-01-01,Banadir,1098.5062255859375,45684.94921875,1378022.5,,0.0,1098.5062255859375,45684.94921875,1378022.5,,0.0,1098.5062255859375,45684.94921875,1378022.5,,0.0,0.0,0.0,0.0,1424805.955444336,1424805.955444336,1424805.955444336,1424805.955444336,1424805.955444336,1424805.955444336
39,2010-01-01,Bari,612647.86328125,0.0,0.0,,0.0,612647.86328125,0.0,0.0,,0.0,0.0,612647.86328125,0.0,,0.0,0.0,0.0,0.0,612647.86328125,612647.86328125,612647.86328125,612647.86328125,612647.86328125,612647.86328125
40,2010-01-01,Bay,860409.140625,134746.24569702148,444.76121520996094,,0.0,860409.140625,134746.24569702148,444.76121520996094,,0.0,993908.421875,1246.9336853027344,444.76121520996094,,0.0,0.0,0.0,0.0,995600.1475372314,995600.1475372314,995600.1475372314,995600.1475372314,995600.1167755127,995600.1167755127
41,2010-01-01,Galgaduud,0.0,0.0,528662.2109375,,0.0,0.0,0.0,528662.2109375,,0.0,0.0,134516.9296875,394145.2890625,,0.0,0.0,0.0,0.0,528662.2109375,528662.2109375,528662.2109375,528662.2109375,528662.21875,528662.21875
42,2010-01-01,Gedo,98785.7254371643,104815.45088195801,323298.1381530762,,0.0,98785.7254371643,104815.45088195801,323298.1381530762,,0.0,98835.04511260986,104766.13121032715,323298.1381530762,,0.0,0.0,0.0,0.0,526899.3144721985,526899.3144721985,526899.3144721985,526899.3144721985,526899.3144760132,526899.3144760132
