ADMIN0,ADMIN1,ADMIN2,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,period_ML1,period_ML2
Somalia,Lower Shabelle,Wanla Weyn,2009-07-01,0.0,0.0,0.0,239398.359375,0.0,0.0,0.0,0.0,239398.359375,0.0,0.0,0.0,0.0,239398.359375,0.0,0.0,0.0,0.0,0.0,239398.359375,0.0,239398.359375,0.0,239398.359375,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Lower Shabelle,Sablaale,2009-07-01,0.0,0.0,0.0,62788.9140625,0.0,0.0,0.0,0.0,62788.9140625,0.0,0.0,0.0,0.0,62788.9140625,0.0,0.0,0.0,0.0,0.0,62788.9140625,0.0,62788.9140625,0.0,62788.9140625,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Lower Shabelle,Qoryooley,2009-07-01,0.0,0.0,0.0,197997.46875,0.0,0.0,0.0,0.0,197997.46875,0.0,0.0,0.0,0.0,197997.46875,0.0,0.0,0.0,0.0,0.0,197997.46875,0.0,197997.46875,0.0,197997.46875,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Lower Shabelle,Marka,2009-07-01,0.0,0.0,0.0,311438.96875,0.0,0.0,0.0,0.0,311438.96875,0.0,0.0,0.0,0.0,311438.96875,0.0,0.0,0.0,0.0,0.0,311438.96875,0.0,311438.96875,0.0,311438.96875,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Lower Shabelle,Kurtunwaarey,2009-07-01,0.0,0.0,0.0,86683.0625,0.0,0.0,0.0,0.0,86683.0625,0.0,0.0,0.0,0.0,86683.0625,0.0,0.0,0.0,0.0,0.0,86683.0625,0.0,86683.0625,0.0,86683.0625,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Lower Shabelle,Baraawe,2009-07-01,0.0,0.0,0.0,106054.046875,0.0,0.0,0.0,0.0,106054.046875,0.0,0.0,0.0,0.0,106054.046875,0.0,0.0,0.0,0.0,0.0,106054.046875,0.0,106054.046875,0.0,106054.046875,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Mudug,Hobyo,2009-07-01,0.0,0.0,0.0,106515.0625,0.0,0.0,0.0,0.0,106515.0625,0.0,0.0,0.0,0.0,106515.0625,0.0,0.0,0.0,0.0,0.0,106515.0625,0.0,106515.0625,0.0,106515.0625,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Lower Shabelle,Afgooye,2009-07-01,0.0,0.0,0.0,337094.875,0.0,0.0,0.0,0.0,337094.875,0.0,0.0,0.0,0.0,337094.875,0.0,0.0,0.0,0.0,0.0,337094.875,0.0,337094.875,0.0,337094.875,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Mudug,Xarardheere,2009-07-01,0.0,0.0,0.0,103151.6015625,0.0,0.0,0.0,0.0,103151.6015625,0.0,0.0,0.0,0.0,103151.6015625,0.0,0.0,0.0,0.0,0.0,103151.6015625,0.0,103151.6015625,0.0,103151.6015625,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Nugaal,Eyl,2009-07-01,0.0,0.0,0.0,49584.4765625,0.0,0.0,0.0,0.0,49584.4765625,0.0,0.0,0.0,0.0,49584.4765625,0.0,0.0,0.0,0.0,0.0,49584.4765625,0.0,49584.4765625,0.0,49584.4765625,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
