ADMIN0,date,CS_1,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,period_ML1,period_ML2
Ethiopia,2010-10-01,30791442.0,30194316.0,22901306.0,9.052535057067871,3497908.0,31830756.0,46596640.0,5782695.5,0.0,3174668.0,31827582.0,40875796.0,11503425.0,9.052535057067871,3178168.25,0,0,0,83887073.05253506,87384981.05253506,84210091.5,87384759.5,84206812.05253506,87384980.30253506,36.70582472309717,35.99400348739135,27.300160998176494,1.0791334978869317e-05,0.0,22901315.052535057,27.300171789511474,9.052535057067871,1.0791334978869317e-05,60985758.0,72.69982821048853,37.7992179238993,55.3337957125958,6.8669863635049015,0.0,0.0,5782695.5,6.8669863635049015,0.0,0.0,78427396.0,93.1330136364951,37.79692072910131,48.542148792544666,13.660919727994486,1.0750359545045077e-05,0.0,11503434.052535057,13.66093047835403,9.052535057067871,1.0750359545045077e-05,72703378.0,86.33906952164597,-13.639241311157443,-20.433185426006574,Oct - Dec 2010,Jan - Mar 2011
Ethiopia,2020-10-01,81866627.64202881,26465385.59326172,6164421.736328125,0.0,,79362970.93109131,25509785.41455078,9623678.625976562,0.0,,61176483.88519287,27506172.166503906,25813778.919921875,0.0,,0,0,0,114496434.97161865,114496434.97161865,114496434.97161865,114496434.97161865,114496434.97161865,114496434.97161865,71.50146435766483,23.114593567757765,5.383942074577396,0.0,0.0,6164421.736328125,5.383942074577396,0.0,0.0,108332013.23529053,94.61605792542261,69.3147965268646,22.27998227270058,8.405221200434823,0.0,0.0,9623678.625976562,8.405221200434823,0.0,0.0,104872756.34564209,91.59477879956518,53.430907172225304,24.023605777177366,22.54548705059733,0.0,0.0,25813778.919921875,22.54548705059733,0.0,0.0,88682656.05169678,77.45451294940267,17.161544976019933,3.0212791258574274,Oct - Jan 2021,Feb - May 2021
