ADMIN0,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,period_ML1,period_ML2
Ethiopia,Addis Ababa,Region 14,2009-07-01,51459.3125,0.0,0.0,0.0,3070314.5,51459.3125,0.0,0.0,0.0,3070314.5,51459.3125,0.0,0.0,0.0,3070314.5,0,0.0,0.0,51459.3125,3121773.8125,51459.3125,3121773.8125,51459.3125,3121773.8125,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51459.3125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51459.3125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51459.3125,100.0,0.0,0.0,Jul - Sep 2009,Oct - Dec 2009
Ethiopia,SNNP,Konta Special,2009-07-01,107960.0625,1060.865234375,0.0,0.0,0.0,107960.0625,1006.1981201171876,54.6670150756836,0.0,0.0,107960.0625,1006.1981201171876,54.6670150756836,0.0,0.0,0,0.0,0.0,109020.927734375,109020.927734375,109020.92763519287,109020.92763519287,109020.92763519287,109020.92763519287,99.02691597253715,0.9730840274628321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109020.927734375,100.0,99.0269160626272,0.9229403399355944,0.050143597437192065,0.0,0.0,54.6670150756836,0.050143597437192065,0.0,0.0,108966.2606201172,99.94985640256282,99.0269160626272,0.9229403399355944,0.050143597437192065,0.0,0.0,54.6670150756836,0.050143597437192065,0.0,0.0,108966.2606201172,99.94985640256282,0.050143597437192065,0.050143597437192065,Jul - Sep 2009,Oct - Dec 2009
Ethiopia,SNNP,Konso,2009-07-01,0.0,403.3524169921875,302242.59375,0.0,0.0,0.0,0.0,302645.96875,0.0,0.0,0.0,1356.9930419921875,301288.96875,0.0,0.0,0,0.0,0.0,302645.9461669922,302645.9461669922,302645.96875,302645.96875,302645.9617919922,302645.9617919922,0.0,0.13327534107118955,99.86672465892879,0.0,0.0,302242.59375,99.86672465892879,0.0,0.0,403.3524169921875,0.13327534107118955,0.0,0.0,100.0,0.0,0.0,302645.96875,100.0,0.0,0.0,0.0,0.0,0.0,0.4483763913310845,99.55162360866892,0.0,0.0,301288.96875,99.55162360866892,0.0,0.0,1356.9930419921875,0.4483763913310845,-0.3151010502598837,0.13327534107119732,Jul - Sep 2009,Oct - Dec 2009
Ethiopia,SNNP,Kembata Tibaro,2009-07-01,0.0,128.81118774414062,793245.0625,0.0,0.0,0.0,128.81118774414062,793245.0625,0.0,0.0,0.0,793373.875,0.0,0.0,0.0,0,0.0,0.0,793373.873687744,793373.873687744,793373.873687744,793373.873687744,793373.875,793373.875,0.0,0.01623587466340467,99.98376412533659,0.0,0.0,793245.0625,99.98376412533659,0.0,0.0,128.81118774414062,0.01623587466340467,0.0,0.01623587466340467,99.98376412533659,0.0,0.0,793245.0625,99.98376412533659,0.0,0.0,128.81118774414062,0.01623587466340467,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793373.875,100.0,-99.98376412533659,0.0,Jul - Sep 2009,Oct - Dec 2009
Ethiopia,SNNP,Kefa,2009-07-01,1003962.0,445.5972290039063,0.0,0.0,0.0,1003962.0,0.0,445.5972290039063,0.0,0.0,1003962.0,0.0,445.5972290039063,0.0,0.0,0,0.0,0.0,1004407.597229004,1004407.597229004,1004407.597229004,1004407.597229004,1004407.597229004,1004407.597229004,99.95563581655165,0.04436418344835663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004407.597229004,100.0,99.95563581655165,0.0,0.04436418344835663,0.0,0.0,445.5972290039063,0.04436418344835663,0.0,0.0,1003962.0,99.95563581655165,99.95563581655165,0.0,0.04436418344835663,0.0,0.0,445.5972290039063,0.04436418344835663,0.0,0.0,1003962.0,99.95563581655165,0.04436418344835663,0.04436418344835663,Jul - Sep 2009,Oct - Dec 2009
Ethiopia,SNNP,Halaba,2009-07-01,0.0,0.0,299183.21875,0.0,0.0,0.0,0.0,299183.21875,0.0,0.0,0.0,299183.21875,0.0,0.0,0.0,0,0.0,0.0,299183.21875,299183.21875,299183.21875,299183.21875,299183.21875,299183.21875,0.0,0.0,100.0,0.0,0.0,299183.21875,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,299183.21875,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299183.21875,100.0,-100.0,0.0,Jul - Sep 2009,Oct - Dec 2009
Ethiopia,SNNP,Hadiya,2009-07-01,1519.89404296875,0.0,1410048.375,0.0,0.0,1519.89404296875,0.0,1410048.375,0.0,0.0,1519.89404296875,1410048.375,0.0,0.0,0.0,0,0.0,0.0,1411568.2690429688,1411568.2690429688,1411568.2690429688,1411568.2690429688,1411568.2690429688,1411568.2690429688,0.10767414345458652,0.0,99.89232585654541,0.0,0.0,1410048.375,99.89232585654541,0.0,0.0,1519.89404296875,0.10767414345458652,0.10767414345458652,0.0,99.89232585654541,0.0,0.0,1410048.375,99.89232585654541,0.0,0.0,1519.89404296875,0.10767414345458652,0.10767414345458652,99.89232585654541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1411568.2690429688,100.0,-99.89232585654541,0.0,Jul - Sep 2009,Oct - Dec 2009
Ethiopia,SNNP,Guraghe,2009-07-01,264084.15625,1778.69189453125,1147191.625,0.0,0.0,264084.15625,1778.69189453125,1147191.625,0.0,0.0,264084.15625,1148970.25,0.0,0.0,0.0,0,0.0,0.0,1413054.4731445312,1413054.4731445312,1413054.4731445312,1413054.4731445312,1413054.40625,1413054.40625,18.6888871780238,0.12587567771347485,81.18523714426273,0.0,0.0,1147191.625,81.18523714426273,0.0,0.0,265862.84814453125,18.814762855737268,18.6888871780238,0.12587567771347485,81.18523714426273,0.0,0.0,1147191.625,81.18523714426273,0.0,0.0,265862.84814453125,18.814762855737268,18.688888062762803,81.3111119372372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413054.40625,100.0,-81.18523714426273,0.0,Jul - Sep 2009,Oct - Dec 2009
Ethiopia,SNNP,Gofa,2009-07-01,135475.6875,260776.828125,139210.03125,0.0,0.0,135475.6875,259152.859375,140833.96875,0.0,0.0,135475.6875,398362.90625,1623.951416015625,0.0,0.0,0,0.0,0.0,535462.546875,535462.546875,535462.515625,535462.515625,535462.5451660156,535462.5451660156,25.30068410772077,48.70122656512829,25.99808932715095,0.0,0.0,139210.03125,25.99808932715095,0.0,0.0,396252.515625,74.00191067284906,25.300685584287947,48.39794603969858,26.301368376013485,0.0,0.0,140833.96875,26.301368376013485,0.0,0.0,394628.546875,73.69863162398651,25.30068418847053,74.39603569778927,0.3032801137401931,0.0,0.0,1623.951416015625,0.3032801137401931,0.0,0.0,533838.59375,99.6967198862598,-25.694809213410753,0.3032790488625388,Jul - Sep 2009,Oct - Dec 2009
Ethiopia,SNNP,Gedeo,2009-07-01,264.334228515625,0.0,989696.875,0.0,0.0,264.334228515625,0.0,989696.875,0.0,0.0,264.334228515625,143080.890625,846616.0,0.0,0.0,0,0.0,0.0,989961.2092285156,989961.2092285156,989961.2092285156,989961.2092285156,989961.2248535156,989961.2248535156,0.02670147335587247,0.0,99.97329852664413,0.0,0.0,989696.875,99.97329852664413,0.0,0.0,264.334228515625,0.02670147335587247,0.02670147335587247,0.0,99.97329852664413,0.0,0.0,989696.875,99.97329852664413,0.0,0.0,264.334228515625,0.02670147335587247,0.0267014729344312,14.453181299719253,85.52011722734632,0.0,0.0,846616.0,85.52011722734632,0.0,0.0,143345.22485351562,14.479882772653685,-14.45318129929781,0.0,Jul - Sep 2009,Oct - Dec 2009
