,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_5,ML1_5,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2
0,Addis Ababa,Region 14,2009-07-01,51459.3125,0.0,0.0,0.0,3070314.5,51459.3125,0.0,0.0,0.0,3070314.5,51459.3125,0.0,0.0,0.0,3070314.5,0,0.0,0.0,51459.3125,3121773.8125,51459.3125,3121773.8125,51459.3125,3121773.8125
1,Afar,Awsi /Zone 1,2009-07-01,0.0,281470.65625,182319.75,0.0,0.0,0.0,281470.65625,182319.75,0.0,0.0,0.0,304016.71875,159773.671875,0.0,0.0,0,0.0,0.0,463790.40625,463790.40625,463790.40625,463790.40625,463790.390625,463790.390625
2,Afar,Fanti /Zone 4,2009-07-01,0.0,86.73908233642578,263082.3125,0.0,0.0,0.0,86.73908233642578,263082.3125,0.0,0.0,0.0,436.90606689453125,262732.15625,0.0,0.0,0,0.0,0.0,263169.0515823364,263169.0515823364,263169.0515823364,263169.0515823364,263169.06231689453,263169.06231689453
3,Afar,Gabi /Zone 3,2009-07-01,3802.80322265625,193451.9375,3796.971923828125,0.0,0.0,3802.80322265625,193451.9375,3796.971923828125,0.0,0.0,3802.80322265625,197248.875,0.0,0.0,0.0,0,0.0,0.0,201051.71264648438,201051.71264648438,201051.71264648438,201051.71264648438,201051.67822265625,201051.67822265625
4,Afar,Hari /Zone 5,2009-07-01,0.0,19794.103515625,186559.59375,0.0,0.0,0.0,19794.103515625,186559.59375,0.0,0.0,0.0,206353.703125,0.0,0.0,0.0,0,0.0,0.0,206353.697265625,206353.697265625,206353.697265625,206353.697265625,206353.703125,206353.703125
5,Afar,Kilbati /Zone2,2009-07-01,0.0,0.0,434241.9375,0.0,0.0,0.0,0.0,434241.9375,0.0,0.0,0.0,10511.171875,423730.78125,0.0,0.0,0,0.0,0.0,434241.9375,434241.9375,434241.9375,434241.9375,434241.953125,434241.953125
6,Amhara,Awi,2009-07-01,1129277.75,0.0,0.0,0.0,0.0,1129277.75,0.0,0.0,0.0,0.0,1129277.75,0.0,0.0,0.0,0.0,0,0.0,0.0,1129277.75,1129277.75,1129277.75,1129277.75,1129277.75,1129277.75
7,Amhara,Central Gondar,2009-07-01,1492102.875,164092.53125,631141.75,0.0,0.0,1492102.875,164092.53125,631141.75,0.0,0.0,1492102.875,795234.25,0.0,0.0,0.0,0,0.0,0.0,2287337.15625,2287337.15625,2287337.15625,2287337.15625,2287337.125,2287337.125
8,Amhara,East Gojam,2009-07-01,1968563.375,438496.625,0.0,0.0,72908.3359375,1968563.375,438496.625,0.0,0.0,72908.3359375,1968563.375,438496.625,0.0,0.0,72908.3359375,0,0.0,0.0,2407060.0,2479968.3359375,2407060.0,2479968.3359375,2407060.0,2479968.3359375
9,Amhara,North Gondar,2009-07-01,1571.38818359375,326281.5625,446073.125,0.0,0.0,1571.38818359375,326281.5625,446073.125,0.0,0.0,1571.38818359375,772354.625,0.0,0.0,0.0,0,0.0,0.0,773926.0756835938,773926.0756835938,773926.0756835938,773926.0756835938,773926.0131835938,773926.0131835938
10,Amhara,North Shewa (AM),2009-07-01,375789.8125,980470.9375,677479.8125,0.0,70339.078125,375789.8125,980470.9375,677479.8125,0.0,70339.078125,375789.8125,1657950.75,0.0,0.0,70339.078125,0,0.0,0.0,2033740.5625,2104079.640625,2033740.5625,2104079.640625,2033740.5625,2104079.640625
