,date,CS,admin0Name,admin1Name,admin2Name,ML1,ML2,admin1Name_fr,admin2Name_fr,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2
18,2009-07-01,2.0,Tchad,Logone Occidental,Ngourkosso,2.0,1.0,Logone Occidental,Ngourkosso,238521.0,168697,0.0,168697.0,0.0,0.0,0.0,168697.0,0.0,168697.0,0.0,0.0,0.0,168697.0,168697.0,0.0,0.0,0.0,0.0,168697.0
19,2009-07-01,2.0,Tchad,Logone Oriental,La Pendé,2.0,1.0,Logone Oriental,La Pendé,239067.0,169083,0.0,169083.0,0.0,0.0,0.0,169083.0,0.0,169083.0,0.0,0.0,0.0,169083.0,169083.0,0.0,0.0,0.0,0.0,169083.0
20,2009-07-01,2.0,Tchad,Logone Oriental,Kouh Est,2.0,1.0,Logone Oriental,Kouh Est,151003.0,106799,0.0,106799.0,0.0,0.0,0.0,106799.0,0.0,106799.0,0.0,0.0,0.0,106799.0,106799.0,0.0,0.0,0.0,0.0,106799.0
21,2009-07-01,2.0,Tchad,Logone Oriental,Kouh Ouest,2.0,1.0,Logone Oriental,Kouh Ouest,73773.0,52177,0.0,52177.0,0.0,0.0,0.0,52177.0,0.0,52177.0,0.0,0.0,0.0,52177.0,52177.0,0.0,0.0,0.0,0.0,52177.0
22,2009-07-01,2.0,Tchad,Logone Oriental,La Nya,2.0,1.0,Logone Oriental,La Nya,209989.0,148517,0.0,148517.0,0.0,0.0,0.0,148517.0,0.0,148517.0,0.0,0.0,0.0,148517.0,148517.0,0.0,0.0,0.0,0.0,148517.0
23,2009-07-01,2.0,Tchad,Logone Oriental,La Nya Pendé,2.0,1.0,Logone Oriental,La Nya Pendé,161045.0,113901,0.0,113901.0,0.0,0.0,0.0,113901.0,0.0,113901.0,0.0,0.0,0.0,113901.0,113901.0,0.0,0.0,0.0,0.0,113901.0
24,2009-07-01,1.0,Tchad,Logone Oriental,Monts de Lam,2.0,1.0,Logone Oriental,Monts de Lam,326275.0,230763,230763.0,0.0,0.0,0.0,0.0,230763.0,0.0,230763.0,0.0,0.0,0.0,230763.0,230763.0,0.0,0.0,0.0,0.0,230763.0
25,2009-07-01,2.0,Tchad,Mandoul,Mandoul Oriental,2.0,1.0,Mandoul,Mandoul Oriental,378549.0,267734,0.0,267734.0,0.0,0.0,0.0,267734.0,0.0,267734.0,0.0,0.0,0.0,267734.0,267734.0,0.0,0.0,0.0,0.0,267734.0
26,2009-07-01,2.0,Tchad,Mandoul,Barh-Sara,2.0,1.0,Mandoul,Barh-Sara,321105.0,227106,0.0,227106.0,0.0,0.0,0.0,227106.0,0.0,227106.0,0.0,0.0,0.0,227106.0,227106.0,0.0,0.0,0.0,0.0,227106.0
27,2009-07-01,2.0,Tchad,Mandoul,Mandoul Occidental,2.0,1.0,Mandoul,Mandoul Occidental,228650.0,161716,0.0,161716.0,0.0,0.0,0.0,161716.0,0.0,161716.0,0.0,0.0,0.0,161716.0,161716.0,0.0,0.0,0.0,0.0,161716.0
28,2009-07-01,2.0,Tchad,Mayo-Kebbi Est,Mayo-Boneye,2.0,1.0,Mayo-Kebbi Est,Mayo-Boneye,349233.0,247000,0.0,247000.0,0.0,0.0,0.0,247000.0,0.0,247000.0,0.0,0.0,0.0,247000.0,247000.0,0.0,0.0,0.0,0.0,247000.0
29,2009-07-01,2.0,Tchad,Mayo-Kebbi Est,Kabbia,2.0,1.0,Mayo-Kebbi Est,Kabbia,338675.0,239533,0.0,239533.0,0.0,0.0,0.0,239533.0,0.0,239533.0,0.0,0.0,0.0,239533.0,239533.0,0.0,0.0,0.0,0.0,239533.0
30,2009-07-01,2.0,Tchad,Mayo-Kebbi Est,Mayo-Lemié,2.0,1.0,Mayo-Kebbi Est,Mayo-Lemié,121436.0,85887,0.0,85887.0,0.0,0.0,0.0,85887.0,0.0,85887.0,0.0,0.0,0.0,85887.0,85887.0,0.0,0.0,0.0,0.0,85887.0
31,2009-07-01,3.0,Tchad,Mayo-Kebbi Est,Mont Illi,3.0,2.0,Mayo-Kebbi Est,Mont Illi,337335.0,238585,0.0,0.0,238585.0,0.0,0.0,238585.0,0.0,0.0,238585.0,0.0,0.0,238585.0,0.0,238585.0,0.0,0.0,0.0,238585.0
32,2009-07-01,1.0,Tchad,Mayo-Kebbi Ouest,Lac Léré,2.0,1.0,Mayo-Kebbi Ouest,Lac Léré,261829.0,185182,185182.0,0.0,0.0,0.0,0.0,185182.0,0.0,185182.0,0.0,0.0,0.0,185182.0,185182.0,0.0,0.0,0.0,0.0,185182.0
33,2009-07-01,2.0,Tchad,Moyen-Chari,Grande Sido,2.0,1.0,Moyen-Chari,Grande Sido,159786.0,113011,0.0,113011.0,0.0,0.0,0.0,113011.0,0.0,113011.0,0.0,0.0,0.0,113011.0,113011.0,0.0,0.0,0.0,0.0,113011.0
34,2009-07-01,1.0,Tchad,Moyen-Chari,Lac Iro,2.0,1.0,Moyen-Chari,Lac Iro,260038.0,183915,183915.0,0.0,0.0,0.0,0.0,183915.0,0.0,183915.0,0.0,0.0,0.0,183915.0,183915.0,0.0,0.0,0.0,0.0,183915.0
35,2009-07-01,1.0,Tchad,Ouaddaï,Ouara,2.0,2.0,Ouaddaï,Ouara,487136.0,344534,344534.0,0.0,0.0,0.0,0.0,344534.0,0.0,344534.0,0.0,0.0,0.0,344534.0,0.0,344534.0,0.0,0.0,0.0,344534.0
36,2009-07-01,2.0,Tchad,Ouaddaï,Abdi,2.0,2.0,Ouaddaï,Abdi,158424.0,112047,0.0,112047.0,0.0,0.0,0.0,112047.0,0.0,112047.0,0.0,0.0,0.0,112047.0,0.0,112047.0,0.0,0.0,0.0,112047.0
37,2009-07-01,2.0,Tchad,Ouaddaï,Assoungha,2.0,2.0,Ouaddaï,Assoungha,423386.0,299446,0.0,299446.0,0.0,0.0,0.0,299446.0,0.0,299446.0,0.0,0.0,0.0,299446.0,0.0,299446.0,0.0,0.0,0.0,299446.0
38,2009-07-01,1.0,Tchad,Salamat,Bahr-Azoum,2.0,1.0,Salamat,Bahr-Azoum,271535.0,192047,192047.0,0.0,0.0,0.0,0.0,192047.0,0.0,192047.0,0.0,0.0,0.0,192047.0,192047.0,0.0,0.0,0.0,0.0,192047.0
39,2009-07-01,1.0,Tchad,Salamat,Aboudéia,2.0,1.0,Salamat,Aboudéia,96388.0,68171,68171.0,0.0,0.0,0.0,0.0,68171.0,0.0,68171.0,0.0,0.0,0.0,68171.0,68171.0,0.0,0.0,0.0,0.0,68171.0
40,2009-07-01,1.0,Tchad,Salamat,Haraze-Mangueigne,2.0,1.0,Salamat,Haraze-Mangueigne,82582.0,58407,58407.0,0.0,0.0,0.0,0.0,58407.0,0.0,58407.0,0.0,0.0,0.0,58407.0,58407.0,0.0,0.0,0.0,0.0,58407.0
41,2009-07-01,2.0,Tchad,Tandjilé,Tandjilé Est,2.0,1.0,Tandjilé,Tandjilé Est,383239.0,271051,0.0,271051.0,0.0,0.0,0.0,271051.0,0.0,271051.0,0.0,0.0,0.0,271051.0,271051.0,0.0,0.0,0.0,0.0,271051.0
42,2009-07-01,3.0,Tchad,Wadi Fira,Biltine,3.0,2.0,Wadi Fira,Biltine,250970.0,177502,0.0,0.0,177502.0,0.0,0.0,177502.0,0.0,0.0,177502.0,0.0,0.0,177502.0,0.0,177502.0,0.0,0.0,0.0,177502.0
43,2009-07-01,3.0,Tchad,Wadi Fira,Dar-Tama,3.0,2.0,Wadi Fira,Dar-Tama,266306.0,188349,0.0,0.0,188349.0,0.0,0.0,188349.0,0.0,0.0,188349.0,0.0,0.0,188349.0,0.0,188349.0,0.0,0.0,0.0,188349.0
44,2009-07-01,3.0,Tchad,Wadi Fira,Kobé,3.0,2.0,Wadi Fira,Kobé,207442.0,146716,0.0,0.0,146716.0,0.0,0.0,146716.0,0.0,0.0,146716.0,0.0,0.0,146716.0,0.0,146716.0,0.0,0.0,0.0,146716.0
45,2009-07-01,2.0,Tchad,N'Djamena,N'Djaména,3.0,2.0,N'Djamena,N'Djaména,1592258.0,1126148,0.0,1126148.0,0.0,0.0,0.0,1126148.0,0.0,0.0,1126148.0,0.0,0.0,1126148.0,0.0,1126148.0,0.0,0.0,0.0,1126148.0
46,2009-07-01,2.0,Tchad,Ennedi Est,Am-Djarass,2.0,2.0,Ennedi Est,Am-Djarass,117006.0,82754,0.0,82754.0,0.0,0.0,0.0,82754.0,0.0,82754.0,0.0,0.0,0.0,82754.0,0.0,82754.0,0.0,0.0,0.0,82754.0
47,2009-07-01,2.0,Tchad,Ennedi Est,Wadi Hawar,2.0,2.0,Ennedi Est,Wadi Hawar,41093.0,29063,0.0,29063.0,0.0,0.0,0.0,29063.0,0.0,29063.0,0.0,0.0,0.0,29063.0,0.0,29063.0,0.0,0.0,0.0,29063.0
48,2009-07-01,2.0,Tchad,Sila,Kimiti,2.0,2.0,Sila,Kimiti,445101.0,314804,0.0,314804.0,0.0,0.0,0.0,314804.0,0.0,314804.0,0.0,0.0,0.0,314804.0,0.0,314804.0,0.0,0.0,0.0,314804.0
