date,ADMIN0,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,perc_CS_3p,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,perc_ML1_3p,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,perc_ML2_3p,perc_CS_4p,perc_CS_2m,perc_ML1_4p,perc_ML1_2m,perc_ML2_4p,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,pop_CS,pop_ML1,pop_ML2
2019-09-01,ethiopia,10726522.0,10033588.0,6110425.0,1856568.0,0.0,11492470.0,10544841.0,5356000.0,1333789.0,0.0,10454773.0,10295850.0,6497089.0,1976704.0,0.0,37.33937947032111,34.92725319361301,21.270592443658522,6.462774892407356,0.0,27.73336733606587,40.005674084749245,36.706945706319125,18.64441589996902,4.642964308962617,0.0,23.287380208931634,35.774104091592456,35.23030195025967,22.23171542589594,6.763878532251937,0.0,28.995593958147868,6.462774892407356,72.26663266393413,4.642964308962617,76.71261979106836,6.763878532251937,71.00440604185214,1.2622266220819967,-4.445987127134238,28727103.0,28727100.0,29224416.0
2020-08-01,ethiopia,19514840.0,13007693.0,7064142.0,1441541.0,0.0,21917132.0,12440776.0,5856056.0,814257.0,0.0,17951993.0,12773625.0,8957494.0,2125663.0,0.0,47.56443711810428,31.70426176951004,17.217765451951408,3.5135356604342727,0.0,20.73130111238568,53.41964985515701,30.322484613700407,14.273238900609412,1.984626630533164,0.0,16.257865531142578,42.93833770542189,30.552497651509764,21.42491378903113,5.08425085403722,0.0,26.50916464306835,3.5135356604342727,79.26869888761432,1.984626630533164,83.74213446885742,5.08425085403722,73.49083535693165,5.777863530682669,-4.473435581243102,41028216.0,41028221.0,41808775.0
2020-10-01,ethiopia,28605700.0,15772171.0,7191497.0,1418042.0,0.0,23752636.0,17353114.0,10279335.0,2592137.0,0.0,7113383.0,6463873.0,3142436.0,872224.0,0.0,53.98584305215145,29.765884009050453,13.572086274833966,2.676186663964138,0.0,16.248272938798102,44.004924892207306,32.148957202725256,19.043838528777933,4.802279376289502,0.0,23.846117905067437,40.43552163391412,36.74342806093435,17.86295477991141,4.9580955252401155,0.0,22.821050305151523,2.676186663964138,83.75172706120189,4.802279376289502,76.15388209493257,4.9580955252401155,77.17894969484847,6.572777366353421,7.597844966269335,52987410.0,53977222.0,17591916.0
