date,ADMIN0,ADMIN1,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,perc_CS_3p,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,perc_ML1_3p,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,perc_ML2_3p,perc_CS_4p,perc_CS_2m,perc_ML1_4p,perc_ML1_2m,perc_ML2_4p,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,pop_CS,pop_ML1,pop_ML2
2019-09-01,ethiopia,Afar,620156.0,520182.0,313633.0,59577.0,0.0,472814.0,563785.0,372126.0,104823.0,0.0,586182.0,609137.0,296571.0,44649.0,0.0,40.9736592430501,34.368384748947506,20.72170819822034,3.936247809782049,0.0,24.657956008002387,31.238784630550203,37.249231606794105,24.586336211339184,6.925647551316509,0.0,31.511983762655692,38.149503527082615,39.64344543158358,19.30123478805289,2.9058162532809124,0.0,22.207051041333802,3.936247809782049,75.34204399199761,6.925647551316509,68.48801623734431,2.9058162532809124,77.7929489586662,-2.4509049666685847,6.8540277546533055,1513548.0,1513548.0,1536539.0
2020-08-01,ethiopia,Afar,647322.0,516581.0,313370.0,63280.0,0.0,607531.0,583769.0,285099.0,64155.0,0.0,477041.0,583797.0,426361.0,78274.0,0.0,42.01880753210049,33.53217967833629,20.341396888000606,4.107615901562621,0.0,24.44901278956323,39.43587826197589,37.89344612392685,18.50626462947745,4.164410984619819,0.0,22.670675614097267,30.472643092534973,37.29205166745131,27.235282882553708,5.000022357460013,0.0,32.23530524001372,4.107615901562621,75.55098721043677,4.164410984619819,77.32932438590274,5.000022357460013,67.76469475998627,7.7862924504504925,-1.778337175465964,1540553.0,1540554.0,1565473.0
2020-10-01,ethiopia,Afar,284764.0,508794.0,565628.0,188142.0,0.0,320917.0,469562.0,602883.0,182077.0,0.0,0.0,0.0,0.0,0.0,0.0,18.403596393266326,32.88210385903959,36.555145386110766,12.159154361583322,0.0,48.71429974769409,20.370004805009906,29.805152722510996,38.267619374663184,11.55722309781591,0.0,49.8248424724791,,,,,,,12.159154361583322,51.28570025230591,11.55722309781591,50.175157527520895,,,,1.110542724785006,1547328.0,1575439.0,0.0
2019-09-01,ethiopia,Amhara,1763232.0,871185.0,594369.0,229153.0,0.0,1944985.0,1006295.0,396290.0,110366.0,0.0,1578404.0,1000901.0,675364.0,228197.0,0.0,50.99083587073109,25.193764262469635,17.18853340096514,6.626866465834129,0.0,23.815399866799268,56.246992425539396,29.101030209928698,11.46030464415767,3.191672720374235,0.0,14.651977364531907,45.31911362653631,28.73785554770123,19.391041745504996,6.551989080257465,0.0,25.94303082576246,6.626866465834129,76.18460013320073,3.191672720374235,85.34802263546808,6.551989080257465,74.05696917423754,2.1276309589631914,-9.16342250226736,3457939.0,3457936.0,3482866.0
2020-08-01,ethiopia,Amhara,3483150.0,1709456.0,682492.0,209264.0,0.0,5171709.0,608437.0,304218.0,0.0,0.0,4341010.0,1188029.0,614339.0,0.0,0.0,57.24757994346818,28.09589567484643,11.217149801408924,3.439374580276453,0.0,14.656524381685376,84.99999342577136,10.000009861342944,4.999996712885686,0.0,0.0,4.999996712885686,70.66161320368045,19.338367263092067,10.000019533227485,0.0,0.0,10.000019533227485,3.439374580276453,85.34347561831463,0.0,95.00000328711431,0.0,89.99998046677251,-4.656504848457891,-9.65652766879969,6084362.0,6084364.0,6143378.0
2020-10-01,ethiopia,Amhara,6399156.0,1936256.0,1160691.0,7529.0,0.0,5384668.0,2427726.0,1446595.0,348708.0,0.0,1563436.0,1132484.0,597730.0,135399.0,0.0,67.33379406946733,20.37385285962251,12.213130727284053,0.07922234362609999,0.0,12.292353070910153,56.045356134774025,25.2685529112752,15.056625953129037,3.629465000821737,0.0,18.686090953950778,45.59386582110667,33.02618306125109,17.431363622975347,3.9485874946668886,0.0,21.379951117642236,0.07922234362609999,87.70764692908985,3.629465000821737,81.31390904604923,3.9485874946668886,78.62004888235776,9.087598046732083,6.393737883040625,9503632.0,9607697.0,3429049.0
2020-08-01,ethiopia,Oromia,7512571.0,5594669.0,3268079.0,562322.0,0.0,8236536.0,5753830.0,2787069.0,160207.0,0.0,6462340.0,5565310.0,4326308.0,948789.0,0.0,44.354293493409145,33.03098111478452,19.29477074168711,3.3199546501192225,0.0,22.61472539180633,48.62858714335797,33.97066722746885,16.45488197235483,0.9458636568183458,0.0,17.400745629173176,37.348636028718445,32.16431471835079,25.00359047034555,5.483458782585216,0.0,30.487049252930763,3.3199546501192225,77.38527460819367,0.9458636568183458,82.59925437082683,5.483458782585216,69.51295074706924,7.872323861124432,-5.213979762633155,16937641.0,16937642.0,17302747.0
2020-10-01,ethiopia,Oromia,8505251.0,6611608.0,2826139.0,604806.0,0.0,7063983.0,7049251.0,3954723.0,897062.0,0.0,2862607.0,2762593.0,1335173.0,344197.0,0.0,45.855838243707986,35.646311552569784,15.237054478255216,3.260795725467015,0.0,18.49785020372223,37.24743434214329,37.169754483240965,20.852723638188813,4.730087536426934,0.0,25.58281117461575,39.189260969502655,37.82006333021656,18.278598192638306,4.712077507642476,0.0,22.990675700280782,3.260795725467015,81.50214979627776,4.730087536426934,74.41718882538424,4.712077507642476,77.00932429971921,4.492825496558552,7.084960970893519,18547804.0,18965019.0,7304570.0
2019-09-01,ethiopia,Oromia,3285839.0,4690268.0,2434230.0,1087290.0,0.0,3404066.0,4821537.0,2377404.0,894620.0,0.0,3112604.0,4439412.0,2862717.0,1301954.0,0.0,28.578410136282905,40.79335675091912,21.171586102071323,9.456647010726648,0.0,30.62823311279797,29.606683187756914,41.93506190451299,20.67734498605669,7.780909921673403,0.0,28.45825490773009,26.565564139419273,37.889652595481984,24.432819618719865,11.111963646378879,0.0,35.544783265098744,9.456647010726648,69.37176688720203,7.780909921673403,71.5417450922699,11.111963646378879,64.45521673490126,4.916550152300772,-2.1699782050678813,11497627.0,11497627.0,11716687.0
2020-08-01,ethiopia,SNNP,3582210.0,2393761.0,1112366.0,315998.0,0.0,3580494.0,2442721.0,1079358.0,301762.0,0.0,3242824.0,2431700.0,1468883.0,394024.0,0.0,48.37990177375821,32.329182836811135,15.023172236264296,4.2677431531663546,0.0,19.29091538943065,48.35672616109347,32.990417100252756,14.577379332512644,4.0754774061411325,0.0,18.652856738653774,43.02293447197062,32.261655197904965,19.48784672125025,5.2275636088741635,0.0,24.715410330124417,4.2677431531663546,80.70908461056935,4.0754774061411325,81.34714326134622,5.2275636088741635,75.28458966987559,5.424494940693766,-0.6380586507768768,7404335.0,7404335.0,7537431.0
2020-10-01,ethiopia,SNNP,6581933.0,3143083.0,1146208.0,246956.0,0.0,5613471.0,3373007.0,1901182.0,437780.0,0.0,1928346.0,1276040.0,591620.0,191763.0,0.0,59.19973412914704,28.269761777557118,10.30931321493266,2.2211908783631853,0.0,12.530504093295844,49.56514713777125,29.78256915404611,16.78682682527125,3.8654568829113924,0.0,20.65228370818264,48.35651212495007,31.998844466667954,14.835864364259816,4.808779044122165,0.0,19.644643408381977,2.2211908783631853,87.46949590670415,3.8654568829113924,79.34771629181736,4.808779044122165,80.35535659161802,7.114139315086133,8.121779614886796,11118180.0,11325440.0,3987769.0
2019-09-01,ethiopia,SNNP,2898809.0,1631306.0,865174.0,205389.0,0.0,3140333.0,1723761.0,654101.0,82486.0,0.0,2649456.0,1829994.0,958709.0,262780.0,0.0,51.75817999177956,29.12693784573939,15.447665443362393,3.6672167191186498,0.0,19.11488216248104,56.07055641983537,30.777703639968067,11.678954755680603,1.4727851845159543,0.0,13.151739940196558,46.474028225876474,32.09986986354353,16.816685812635427,4.609416097944567,0.0,21.426101910579995,3.6672167191186498,80.88511783751896,1.4727851845159543,86.84826005980344,4.609416097944567,78.57389808942,2.311219748098953,-5.963142222284484,5600678.0,5600681.0,5700939.0
2020-08-01,ethiopia,Sidama,2065645.0,635583.0,476687.0,0.0,0.0,1906749.0,794479.0,476687.0,0.0,0.0,1617520.0,808760.0,647008.0,161752.0,0.0,65.00000786679317,20.0,14.999992133206835,0.0,0.0,14.999992133206835,60.0,25.000007866793165,14.999992133206835,0.0,0.0,14.999992133206835,50.0,25.0,20.0,5.0,0.0,25.0,0.0,85.00000786679317,0.0,85.00000786679317,5.0,75.0,10.000007866793165,0.0,3177915.0,3177915.0,3235040.0
2020-10-01,ethiopia,Sidama,2833245.0,531233.0,177078.0,0.0,0.0,2525304.0,721515.0,360758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000564723528,14.999988705529436,5.000005647235283,0.0,0.0,5.000005647235283,70.0000027719436,19.999988912225575,10.000008315830819,0.0,0.0,10.000008315830819,,,,,,,0.0,94.99999435276472,0.0,89.99999168416917,,,,5.000002668595536,3541556.0,3607577.0,0.0
