ADMIN0,ADMIN1,date,CS_1,CS_2,CS_3,ML1_2,ML1_3,ML2_1,ML2_2,ML2_3,CS_4,CS_5,ML1_1,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,CS_99,ML1_99,ML2_99,period_ML1,period_ML2
Tchad,Barh-El-Gazel,2009-07-01,10.448765754699707,0.0,271514.375,10.448765754699707,271514.375,10.448765754699707,271514.375,0.0,0.0,0,0.0,0.0,0,0.0,0,271524.8237657547,271524.8237657547,271524.8237657547,271524.8237657547,271524.8237657547,271524.8237657547,0.0038481806597962806,0.0,99.99615181934021,0.0,0.0,271514.375,99.99615181934021,0.0,0.0,10.448765754699707,0.0038481806597962806,0.0,0.0038481806597962806,99.99615181934021,0.0,0.0,271514.375,99.99615181934021,0.0,0.0,10.448765754699707,0.0038481806597962806,0.0038481806597962806,99.99615181934021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271524.8237657547,100.0,-99.99615181934021,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Wadi Fira,2009-07-01,4.449443340301514,83465.8203125,447847.96875,30505.123046875,500813.125,0.0,531318.25,0.0,0.0,0,0.0,0.0,0,0.0,0,531318.2385058403,531318.2385058403,531318.248046875,531318.248046875,531318.25,531318.25,0.0008374347082106809,15.709195405604834,84.28996715968695,0.0,0.0,447847.96875,84.28996715968695,0.0,0.0,83470.2697558403,15.710032840313046,0.0,5.741403228481571,94.25859677151843,0.0,0.0,500813.125,94.25859677151843,0.0,0.0,30505.123046875,5.741403228481571,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531318.25,100.0,-84.28996715968695,9.968629611831474,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Tibesti,2009-07-01,0.0,26714.81640625,0.0,26714.81640625,0.0,0.0,26714.81640625,0.0,0.0,0,0.0,0.0,0,0.0,0,26714.81640625,26714.81640625,26714.81640625,26714.81640625,26714.81640625,26714.81640625,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26714.81640625,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26714.81640625,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26714.81640625,100.0,0.0,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Tandjilé,2009-07-01,417108.8125,269730.1875,0.0,686839.0,0.0,686839.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,686839.0,686839.0,686839.0,686839.0,686839.0,686839.0,60.72876067025897,39.27123932974103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686839.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686839.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686839.0,100.0,0.0,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Sila,2009-07-01,333.287841796875,405485.78125,0.0,405819.0,0.0,304.5674743652344,405514.46875,0.0,0.0,0,0.0,0.0,0,0.0,0,405819.0690917969,405819.0690917969,405819.0,405819.0,405819.03622436523,405819.03622436523,0.08212720080965068,99.91787279919035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405819.0690917969,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405819.0,100.0,0.07505007088845583,99.92494992911153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405819.03622436523,100.0,0.0,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Salamat,2009-07-01,317204.40625,3.785372018814087,0.0,317208.125,0.0,317199.59375,8.63143539428711,0.0,0.0,0,0.0,0.0,0,0.0,0,317208.1916220188,317208.1916220188,317208.125,317208.125,317208.2251853943,317208.2251853943,99.99880666006781,0.0011933399321933929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317208.1916220188,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317208.125,100.0,99.99727893708014,0.002721062919866726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317208.2251853943,100.0,0.0,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Ouaddaï,2009-07-01,348928.71875,405889.9375,0.0,754818.625,0.0,0.0,754818.625,0.0,0.0,0,0.0,0.0,0,0.0,0,754818.65625,754818.65625,754818.625,754818.625,754818.625,754818.625,46.22682757783254,53.77317242216746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754818.65625,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754818.625,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754818.625,100.0,0.0,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Moyen-Chari,2009-07-01,182249.421875,426495.21875,0.0,608744.6875,0.0,608735.4375,9.213190078735352,0.0,0.0,0,0.0,0.0,0,0.0,0,608744.640625,608744.640625,608744.6875,608744.6875,608744.6506900787,608744.6506900787,29.93856696428308,70.06143303571693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608744.640625,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608744.6875,100.0,99.998486526318,0.00151347368199313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608744.6506900787,100.0,0.0,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Mayo-Kebbi Ouest,2009-07-01,240034.0625,327290.125,0.0,567324.1875,0.0,567324.1875,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,567324.1875,567324.1875,567324.1875,567324.1875,567324.1875,567324.1875,42.309858770123384,57.690141229876616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567324.1875,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567324.1875,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567324.1875,100.0,0.0,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Mayo-Kebbi Est,2009-07-01,174.62570190429688,568495.0625,238912.53125,568631.6875,238950.578125,568631.6875,238950.578125,0.0,0.0,0,0.0,0.0,0,0.0,0,807582.2194519043,807582.2194519043,807582.265625,807582.265625,807582.265625,807582.265625,0.02162327224376152,70.39469775422127,29.583678973534965,0.0,0.0,238912.53125,29.583678973534965,0.0,0.0,568669.6882019043,70.41632102646503,0.0,70.41161151055336,29.588388489446654,0.0,0.0,238950.578125,29.588388489446654,0.0,0.0,568631.6875,70.41161151055336,70.41161151055336,29.588388489446654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807582.265625,100.0,-29.583678973534965,0.0047095159116885554,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Mandoul,2009-07-01,0.0,654585.0625,0.0,654585.0625,0.0,654585.0625,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,654585.0625,654585.0625,654585.0625,654585.0625,654585.0625,654585.0625,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654585.0625,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654585.0625,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654585.0625,100.0,0.0,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,N'Djamena,2009-07-01,0.0,966989.5,0.0,0.0,966989.5,0.0,966989.5,0.0,0.0,0,0.0,0.0,0,0.0,0,966989.5,966989.5,966989.5,966989.5,966989.5,966989.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966989.5,100.0,0.0,0.0,100.0,0.0,0.0,966989.5,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966989.5,100.0,0.0,100.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Logone Occidental,2009-07-01,874.5003662109375,676051.75,0.0,676926.25,0.0,676926.25,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,676926.2503662109,676926.2503662109,676926.25,676926.25,676926.25,676926.25,0.12918694846563283,99.87081305153437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676926.2503662109,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676926.25,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676926.25,100.0,0.0,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Logone Oriental,2009-07-01,180779.546875,715992.25,0.0,896771.875,0.0,896771.875,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,896771.796875,896771.796875,896771.875,896771.875,896771.875,896771.875,20.158924210704036,79.84107578929597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896771.796875,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896771.875,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896771.875,100.0,0.0,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Borkou,2009-07-01,0.0,97861.828125,137.46954345703125,97861.828125,137.46954345703125,0.0,97999.296875,0.0,0.0,0,0.0,0.0,0,0.0,0,97999.29766845703,97999.29766845703,97999.29766845703,97999.29766845703,97999.296875,97999.296875,0.0,99.85972395034696,0.14027604965303592,0.0,0.0,137.46954345703125,0.14027604965303592,0.0,0.0,97861.828125,99.85972395034696,0.0,99.85972395034696,0.14027604965303592,0.0,0.0,137.46954345703125,0.14027604965303592,0.0,0.0,97861.828125,99.85972395034696,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97999.296875,100.0,-0.14027604965303592,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Chari-Baguirmi,2009-07-01,415821.96875,189626.890625,0.0,422671.78125,182777.078125,422671.78125,182777.078125,0.0,0.0,0,0.0,0.0,0,0.0,0,605448.859375,605448.859375,605448.859375,605448.859375,605448.859375,605448.859375,68.6799491503295,31.320050849670494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605448.859375,100.0,0.0,69.81131018833211,30.188689811667878,0.0,0.0,182777.078125,30.188689811667878,0.0,0.0,422671.78125,69.81131018833211,69.81131018833211,30.188689811667878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605448.859375,100.0,0.0,30.188689811667878,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Ennedi Est,2009-07-01,0.0,117069.4140625,7948.2392578125,117069.4140625,7948.2392578125,0.0,125017.65625,0.0,0.0,0,0.0,0.0,0,0.0,0,125017.6533203125,125017.6533203125,125017.6533203125,125017.6533203125,125017.65625,125017.65625,0.0,93.64230646895282,6.357693531047182,0.0,0.0,7948.2392578125,6.357693531047182,0.0,0.0,117069.4140625,93.64230646895282,0.0,93.64230646895282,6.357693531047182,0.0,0.0,7948.2392578125,6.357693531047182,0.0,0.0,117069.4140625,93.64230646895282,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125017.65625,100.0,-6.357693531047182,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Ennedi Ouest,2009-07-01,0.0,49279.875,1819.4881591796875,49279.875,1819.4881591796875,0.0,51099.36328125,0.0,0.0,0,0.0,0.0,0,0.0,0,51099.36315917969,51099.36315917969,51099.36315917969,51099.36315917969,51099.36328125,51099.36328125,0.0,96.4393134342755,3.5606865657245037,0.0,0.0,1819.4881591796875,3.5606865657245037,0.0,0.0,49279.875,96.4393134342755,0.0,96.4393134342755,3.5606865657245037,0.0,0.0,1819.4881591796875,3.5606865657245037,0.0,0.0,49279.875,96.4393134342755,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51099.36328125,100.0,-3.5606865657245037,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Batha,2009-07-01,10.099736213684082,190008.703125,321749.625,190018.796875,321749.625,0.0,511768.4375,0.0,0.0,0,0.0,0.0,0,0.0,0,511768.4278612137,511768.4278612137,511768.421875,511768.421875,511768.4375,511768.4375,0.001973497321023294,37.12786736748997,62.870159135189006,0.0,0.0,321749.625,62.870159135189006,0.0,0.0,190018.80286121368,37.129840864810994,0.0,37.12984012941156,62.87015987058844,0.0,0.0,321749.625,62.87015987058844,0.0,0.0,190018.796875,37.12984012941156,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511768.4375,100.0,-62.870159135189006,7.353994320169477e-07,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,Hadjer-Lamis,2009-07-01,241033.734375,151932.21875,128048.1328125,241033.734375,279980.375,241033.734375,279980.375,0.0,0.0,0,0.0,0.0,0,0.0,0,521014.0859375,521014.0859375,521014.109375,521014.109375,521014.109375,521014.109375,46.26242185780636,29.16086586730508,24.576712274888564,0.0,0.0,128048.1328125,24.576712274888564,0.0,0.0,392965.953125,75.42328772511144,0.0,46.262419776719696,53.737580223280304,0.0,0.0,279980.375,53.737580223280304,0.0,0.0,241033.734375,46.262419776719696,46.262419776719696,53.737580223280304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521014.109375,100.0,-24.576712274888564,29.16086794839174,,,,Jul - Sep 2009,Oct - Dec 2009
