date,ADMIN0,ADMIN1,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,perc_CS_3p,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,perc_ML1_3p,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,perc_ML2_3p,perc_CS_4p,perc_CS_2m,perc_ML1_4p,perc_ML1_2m,perc_ML2_4p,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,pop_CS,pop_ML1,pop_ML2
2017-01-01,somalia,Awdal,483122.0,117913.0,72230.0,0.0,0.0,452623.0,129712.0,80503.0,11436.0,0.0,0.0,0.0,0.0,0.0,0.0,71.75807445805144,17.513609054384233,10.728316487564332,0.0,0.0,10.728316487564332,67.12745857025483,19.23728335958379,11.939211655795715,1.6960464143656733,0.0,13.635258070161388,,,,,,,0.0,89.27168351243567,1.6960464143656733,86.3647419298386,,,,2.9069415825970566,673265.0,674274.0,0.0
2017-07-01,somalia,Awdal,452623.0,103380.0,93422.0,23071.0,0.0,366043.0,148964.0,96444.0,16353.0,0.0,0.0,0.0,0.0,0.0,0.0,67.30493564273988,15.372582141752517,13.891829839880089,3.4306523756275134,0.0,17.322482215507602,58.30529910609044,23.727787653471466,15.362119387579561,2.6047938528585357,0.0,17.9669132404381,,,,,,,3.4306523756275134,82.6775177844924,2.6047938528585357,82.0330867595619,,,,0.6444310249304976,672496.0,627804.0,0.0
2018-01-01,somalia,Awdal,500540.0,66935.0,68868.0,36922.0,0.0,375401.0,123859.0,102784.0,72230.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3451686928624,9.941850534336405,10.228958879490245,5.484021893310955,0.0,15.712980772801199,55.674844351109485,18.369238618128534,15.243654656712257,10.712262374049718,0.0,25.955917030761977,,,,,,,5.484021893310955,84.2870192271988,10.712262374049718,74.04408296923802,,,,10.242936257960778,673265.0,674274.0,0.0
2018-07-01,somalia,Awdal,401464.0,121323.0,150476.0,0.0,0.0,367290.0,149489.0,120817.0,35669.0,0.0,0.0,0.0,0.0,0.0,0.0,59.62959497254416,18.020149629491,22.350255397964837,0.0,0.0,22.350255397964837,54.55355617773091,22.20358996828886,17.94493995677779,5.297913897202439,0.0,23.24285385398023,,,,,,,0.0,77.64974460203517,5.297913897202439,76.75714614601978,,,,0.8925984560153921,673263.0,673265.0,0.0
2019-01-01,somalia,Awdal,326632.0,175189.0,148533.0,22910.0,0.0,304672.0,194259.0,143606.0,30728.0,0.0,0.0,0.0,0.0,0.0,0.0,48.51469854321633,26.02084769124742,22.06162812804487,3.402825637491385,0.0,25.464453765536256,45.25290932990724,28.853274713522907,21.32978841912174,4.564027537448108,0.0,25.89381595656985,,,,,,,3.402825637491385,74.53554623446375,4.564027537448108,74.10618404343015,,,,0.42936219103359363,673264.0,673265.0,0.0
2019-08-01,somalia,Awdal,340865.0,273307.0,42014.0,21823.0,0.0,281453.0,262990.0,87159.0,36691.0,0.0,0.0,0.0,0.0,0.0,0.0,50.274406386935865,40.310231870078425,6.196672905521903,3.2186888374638096,0.0,9.415361742985713,42.11520994533834,39.35249957728122,13.042033958159072,5.49025651922136,0.0,18.532290477380432,,,,,,,3.2186888374638096,90.58463825701428,5.49025651922136,81.46770952261957,,,,9.116928734394719,678009.0,668293.0,0.0
2020-01-01,somalia,Awdal,491299.0,172602.0,49625.0,11047.0,0.0,476548.0,179481.0,57233.0,11047.0,0.0,0.0,0.0,0.0,0.0,0.0,67.80531430235463,23.821202280515557,6.848861329362259,1.524622087767554,0.0,8.373483417129814,65.7934666005807,24.779617538923304,7.901738070353952,1.5251777901420527,0.0,9.426915860496003,,,,,,,1.524622087767554,91.62651658287018,1.5251777901420527,90.573084139504,,,,1.053432443366189,724573.0,724309.0,0.0
2020-09-01,somalia,Awdal,464767.0,173154.0,53498.0,33155.0,0.0,393754.0,194889.0,98502.0,37429.0,0.0,0.0,0.0,0.0,0.0,0.0,64.14348292927983,23.897352099302488,7.383372850806129,4.57579212061156,0.0,11.959164971417687,54.34282764769368,26.897045712377203,13.594470682083543,5.165655957845575,0.0,18.760126639929116,,,,,,,4.57579212061156,88.04083502858231,5.165655957845575,81.23987336007087,,,,6.8009616685114285,724574.0,724574.0,0.0
2017-01-01,somalia,Bakool,191157.0,61817.0,114844.0,0.0,0.0,154228.0,57201.0,103798.0,50175.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9705397778249,16.806409691749725,31.223050530425372,0.0,0.0,31.223050530425372,42.20776022025057,15.654265712831346,28.406522131789096,13.73145193512898,0.0,42.137974066918076,,,,,,,0.0,68.77694946957462,13.73145193512898,57.86202593308192,,,,10.914923536492704,367818.0,365402.0,0.0
2017-07-01,somalia,Bakool,169985.0,42180.0,80415.0,73559.0,0.0,266164.0,79827.0,20037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.42635720313869,11.520215000314089,21.962970347327108,20.090457449220107,0.0,42.05342779654721,72.71684133454272,21.80898729058979,5.474171374867496,0.0,0.0,5.474171374867496,,,,,,,20.090457449220107,57.94657220345278,0.0,94.5258286251325,,,,-36.579256421679716,366139.0,366028.0,0.0
