,ADM1_EN,date,pred_date,pred_date_end,perc_threshold,threshold_reached
0,Addis Ababa,2017-03-16,2017-06-16,2017-08-16,,0
11,Tigray,2017-03-16,2017-06-16,2017-08-16,33.33333333333333,1
10,Somali,2017-03-16,2017-06-16,2017-08-16,0.0,0
9,SNNP,2017-03-16,2017-06-16,2017-08-16,0.0,0
7,Oromia,2017-03-16,2017-06-16,2017-08-16,0.0,0
6,Harari,2017-03-16,2017-06-16,2017-08-16,0.0,0
8,Sidama,2017-03-16,2017-06-16,2017-08-16,0.0,0
4,Dire Dawa,2017-03-16,2017-06-16,2017-08-16,0.0,0
3,Benishangul Gumz,2017-03-16,2017-06-16,2017-08-16,5.88235294117647,0
2,Amhara,2017-03-16,2017-06-16,2017-08-16,22.966507177033492,1
1,Afar,2017-03-16,2017-06-16,2017-08-16,22.131147540983605,1
5,Gambela,2017-03-16,2017-06-16,2017-08-16,0.0,0
7,Oromia,2017-04-16,2017-07-16,2017-09-16,39.906103286384976,1
11,Tigray,2017-04-16,2017-07-16,2017-09-16,0.0,0
10,Somali,2017-04-16,2017-07-16,2017-09-16,0.0,0
9,SNNP,2017-04-16,2017-07-16,2017-09-16,74.21875,1
8,Sidama,2017-04-16,2017-07-16,2017-09-16,100.0,1
6,Harari,2017-04-16,2017-07-16,2017-09-16,0.0,0
2,Amhara,2017-04-16,2017-07-16,2017-09-16,4.784688995215311,0
4,Dire Dawa,2017-04-16,2017-07-16,2017-09-16,0.0,0
3,Benishangul Gumz,2017-04-16,2017-07-16,2017-09-16,0.0,0
1,Afar,2017-04-16,2017-07-16,2017-09-16,18.0327868852459,1
0,Addis Ababa,2017-04-16,2017-07-16,2017-09-16,,0
5,Gambela,2017-04-16,2017-07-16,2017-09-16,88.88888888888889,1
7,Oromia,2017-05-16,2017-08-16,2017-10-16,29.577464788732392,1
11,Tigray,2017-05-16,2017-08-16,2017-10-16,5.797101449275362,0
10,Somali,2017-05-16,2017-08-16,2017-10-16,14.074074074074074,1
9,SNNP,2017-05-16,2017-08-16,2017-10-16,25.78125,1
6,Harari,2017-05-16,2017-08-16,2017-10-16,100.0,1
8,Sidama,2017-05-16,2017-08-16,2017-10-16,33.33333333333333,1
4,Dire Dawa,2017-05-16,2017-08-16,2017-10-16,0.0,0
3,Benishangul Gumz,2017-05-16,2017-08-16,2017-10-16,0.0,0
5,Gambela,2017-05-16,2017-08-16,2017-10-16,0.0,0
2,Amhara,2017-05-16,2017-08-16,2017-10-16,9.569377990430622,0
1,Afar,2017-05-16,2017-08-16,2017-10-16,3.278688524590164,0
0,Addis Ababa,2017-05-16,2017-08-16,2017-10-16,,0
10,Somali,2017-06-16,2017-09-16,2017-11-16,0.0,0
