admin2Pcode,admin2Name_fr,admin2RefName,admin1Pcode,admin1Name_fr,Proj2016_Hommes,Proj2016_Femmes,Proj2016_Total,Proj2017_Hommes,Proj2017_Femmes,Proj2017_Total,Proj2018_Hommes,Proj2018_Femmes,Proj2018_Total,Proj2019_Hommes,Proj2019_Femmes,Proj2019_Total,Proj2020_Hommes,Proj2020_Femmes,Proj2020_Total,Proj2021_Hommes,Proj2021_Femmes,Proj2021_Total
TD0101,Batha Ouest,Batha Ouest,TD01,Batha,125463,128277,253741,125406,128217,253624,"129,423","132,325","261,749","133,623","136,619","270,242","138,064","141,159","279,223","142,064","145,249","287,313"
TD0102,Batha Est,Batha Est,TD01,Batha,107365,124085,231450,107315,124028,231343,"110,753","128,001","238,754","114,346","132,155","246,501","118,146","136,547","254,693","121,569","140,503","262,072"
TD0103,Fitri,Fitri,TD01,Batha,69296,72394,141690,69265,72360,141625,"71,483","74,678","146,161","73,803","77,101","150,904","76,256","79,663","155,919","78,465","81,971","160,436"
TD0201,Borkou,Borkou,TD02,Borkou,47162,40583,87745,49087,42239,91326,"50,763","43,682","94,445","52,479","45,158","97,637","54,229","46,665","100,894","55,800","48,017","103,817"
TD0202,Borkou Yala,Borkou Yala,TD02,Borkou,16988,15371,32359,17681,15998,33679,"18,285","16,545","34,830","18,903","17,104","36,007","19,534","17,675","37,209","20,100","18,187","38,287"
TD0301,Baguirmi,Baguirmi,TD03,Chari-Baguirmi,135091,134062,269153,138679,137621,276300,"143,514","142,420","285,934","148,545","147,412","295,957","153,789","152,617","306,406","158,245","157,039","315,283"
TD0302,Chari,Chari,TD03,Chari-Baguirmi,115724,119011,234735,118797,122172,240969,"122,939","126,431","249,370","127,249","130,863","258,112","131,741","135,483","267,224","135,558","139,408","274,966"
TD0303,Loug-Chari,Loug-Chari,TD03,Chari-Baguirmi,117519,120935,238454,120641,124146,244787,"124,847","128,475","253,322","129,223","132,978","262,201","133,785","137,673","271,458","137,661","141,662","279,323"
TD0401,Guéra,Guera,TD04,Guera,108267,113049,221316,94089,98246,192335,"95,727","99,956","195,683","97,496","101,804","199,300","99,632","104,034","203,666","102,519","107,048","209,567"
TD0402,Abtouyour,Abtouyour,TD04,Guera,104673,110208,214881,90967,95777,186744,"92,550","97,444","189,994","94,260","99,245","193,505","96,325","101,420","197,745","99,116","104,358","203,474"
TD0403,Barh-Signaka,Barh-Signaka,TD04,Guera,65394,67528,132922,56832,58685,115517,"57,821","59,707","117,528","58,889","60,810","119,700","60,180","62,142","122,322","61,924","63,942","125,866"
TD0404,Mangalmé,Mangalme,TD04,Guera,56874,64928,121802,49426,56426,105852,"50,287","57,408","107,695","51,217","58,469","109,686","52,339","59,750","112,089","53,855","61,481","115,336"
TD0501,Dagana,Dagana,TD05,Hadjer Lamis,146748,146428,293176,98457,98242,196699,"127,765","127,486","255,251","132,112","131,823","263,934","136,748","136,449","273,197","140,710","140,402","281,112"
TD0502,Dababa,Dababa,TD05,Hadjer Lamis,119612,122112,241723,122160,124712,246871,"153,192","156,393","309,584","158,403","161,713","320,116","163,962","167,388","331,350","168,712","172,238","340,950"
TD0503,Haraze-Al-Biar,Haraze-Al-Biar,TD05,Hadjer Lamis,97617,94981,192598,151759,147660,299419,"103,080","100,296","203,376","106,587","103,708","210,295","110,327","107,348","217,675","113,524","110,458","223,982"
TD0601,Kanem,Kanem,TD06,Kanem,95631,100953,196584,100206,105782,205988,"103,815","109,592","213,407","107,537","113,520","221,058","111,367","117,564","228,931","114,594","120,970","235,564"
TD0602,Nord Kanem,Nord Kanem,TD06,Kanem,58578,58165,116743,61380,60948,122328,"63,591","63,143","126,734","65,870","65,407","131,277","68,216","67,737","135,953","70,192","69,699","139,892"
TD0603,Wadi Bissam,Wadi-Bissam,TD06,Kanem,54777,59760,114537,57398,62618,120016,"59,465","64,874","124,339","61,597","67,199","128,796","63,791","69,593","133,384","65,639","71,609","137,248"
TD0701,Mamdi,Mamdi,TD07,Lac,79010,74744,153754,81729,77316,159045,"79,429","75,141","154,570","82,217","77,778","159,994","85,105","80,510","165,615","87,571","82,843","170,413"
TD0702,Wayi,Wayi,TD07,Lac,134011,136643,270654,138622,141345,279967,"143,490","146,308","289,798","148,525","151,442","299,967","153,743","156,763","310,506","158,197","161,305","319,502"
TD0703,Kaya,Kaya,TD07,Lac,27453,26731,54185,28398,27650,56049,"27,094","26,381","53,476","28,045","27,307","55,352","29,030","28,267","57,297","29,871","29,086","58,957"
TD0704,Fouli,Fouli,TD07,Lac,40496,37630,78126,41890,38925,80815,"50,914","47,310","98,224","52,701","48,970","101,671","54,553","50,690","105,243","56,134","52,159","108,292"
TD0801,Lac Wey,Lac Wey,TD08,Logone Occidental,209328,216109,425437,219611,226726,446337,"227,601","234,974","462,575","235,858","243,498","479,356","244,417","252,334","496,751","251,498","259,645","511,143"
TD0802,Dodjé,Dodje,TD08,Logone Occidental,65617,70887,136504,68841,74369,143210,"71,345","77,074","148,419","73,933","79,870","153,804","76,616","82,769","159,385","78,836","85,167","164,003"
TD0803,Guéni,Gueni,TD08,Logone Occidental,56819,61270,118089,59610,64281,123891,"61,779","66,619","128,398","64,020","69,035","133,056","66,344","71,540","137,884","68,266","73,613","141,879"
TD0804,Ngourkosso,Ngourkosso,TD08,Logone Occidental,97345,106934,204279,102127,112188,214315,"105,842","116,269","222,111","109,682","120,487","230,169","113,662","124,859","238,521","116,955","128,477","245,432"
TD0901,La Pendé,La Pende,TD09,Logone Oriental,99688,106239,205927,104163,111008,215171,"107,882","114,971","222,853","111,731","119,073","230,804","115,731","123,336","239,067","119,084","126,909","245,993"
TD0902,Kouh Est,Kouh Est,TD09,Logone Oriental,62349,67722,130071,65148,70761,135909,"67,474","73,288","140,762","69,882","75,903","145,785","72,383","78,620","151,003","74,480","80,898","155,378"
TD0903,Kouh Ouest,Kouh Ouest,TD09,Logone Oriental,31240,32307,63547,32642,33757,66399,"33,808","34,962","68,770","35,014","36,210","71,224","36,268","37,505","73,773","37,319","38,592","75,910"
TD0904,La Nya,La Nya,TD09,Logone Oriental,89786,91094,180880,93816,95184,189000,"97,166","98,582","195,748","100,632","102,100","202,732","104,235","105,754","209,989","107,255","108,818","216,073"
TD0905,La Nya Pendé,La Nya Pende,TD09,Logone Oriental,67907,70814,138721,70955,73994,144949,"73,488","76,635","150,123","76,110","79,370","155,480","78,835","82,210","161,045","81,119","84,592","165,711"
TD0906,Monts de Lam,Monts de Lam,TD09,Logone Oriental,135568,145478,281046,141653,152009,293662,"146,711","157,436","304,147","151,945","163,053","314,998","157,385","168,890","326,275","161,945","173,783","335,728"
