,date,admin1Name,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2
35,2009-10-01,Woqooyi Galbeed,1242003,1180560,0.0,0.0,1180560.0,0.0,0.0,0.0,0.0,1180560.0,0.0,0.0,0.0,0.0,1180560.0,0.0,0.0,1180560.0,1180560.0,1180560.0
36,2010-01-01,Awdal,673264,657771,0.0,0.0,657771.0,0.0,0.0,0.0,0.0,657771.0,0.0,0.0,0.0,0.0,657771.0,0.0,0.0,657771.0,657771.0,657771.0
37,2010-01-01,Bakool,367227,358775,0.0,0.0,229028.0,129747.0,0.0,0.0,0.0,229028.0,129747.0,0.0,0.0,0.0,229028.0,129747.0,0.0,358775.0,358775.0,358775.0
38,2010-01-01,Banadir,1650228,1612257,0.0,0.0,0.0,1612257.0,0.0,0.0,0.0,0.0,1612257.0,0.0,0.0,0.0,0.0,1612257.0,0.0,1612257.0,1612257.0,1612257.0
39,2010-01-01,Bari,730147,713342,0.0,713342.0,0.0,0.0,0.0,0.0,713342.0,0.0,0.0,0.0,0.0,0.0,713342.0,0.0,0.0,713342.0,713342.0,713342.0
40,2010-01-01,Bay,792182,773952,0.0,773952.0,0.0,0.0,0.0,0.0,773952.0,0.0,0.0,0.0,0.0,773952.0,0.0,0.0,0.0,773952.0,773952.0,773952.0
41,2010-01-01,Galgaduud,569434,556330,0.0,0.0,0.0,556330.0,0.0,0.0,0.0,0.0,556330.0,0.0,0.0,0.0,107341.0,448989.0,0.0,556330.0,556330.0,556330.0
42,2010-01-01,Gedo,508403,496702,0.0,231966.0,0.0,264736.0,0.0,0.0,231966.0,0.0,264736.0,0.0,0.0,231966.0,0.0,264736.0,0.0,496702.0,496702.0,496702.0
43,2010-01-01,Hiraan,520686,508704,0.0,0.0,0.0,508704.0,0.0,0.0,0.0,0.0,508704.0,0.0,0.0,0.0,0.0,508704.0,0.0,508704.0,508704.0,508704.0
44,2010-01-01,Lower Juba,489307,478047,0.0,478047.0,0.0,0.0,0.0,0.0,478047.0,0.0,0.0,0.0,0.0,478047.0,0.0,0.0,0.0,478047.0,478047.0,478047.0
45,2010-01-01,Lower Shabelle,1202219,1174554,0.0,72367.0,1102187.0,0.0,0.0,0.0,72367.0,1102187.0,0.0,0.0,0.0,72367.0,1102187.0,0.0,0.0,1174554.0,1174554.0,1174554.0
46,2010-01-01,Middle Juba,362921,354569,0.0,354569.0,0.0,0.0,0.0,0.0,354569.0,0.0,0.0,0.0,0.0,354569.0,0.0,0.0,0.0,354569.0,354569.0,354569.0
47,2010-01-01,Middle Shabelle,516035,504160,0.0,0.0,0.0,504160.0,0.0,0.0,0.0,0.0,504160.0,0.0,0.0,0.0,0.0,504160.0,0.0,504160.0,504160.0,504160.0
48,2010-01-01,Mudug,717862,701342,0.0,0.0,0.0,701342.0,0.0,0.0,0.0,0.0,701342.0,0.0,0.0,0.0,50765.0,650577.0,0.0,701342.0,701342.0,701342.0
49,2010-01-01,Nugaal,392697,383660,0.0,0.0,241025.0,142635.0,0.0,0.0,0.0,241025.0,142635.0,0.0,0.0,0.0,320192.0,63468.0,0.0,383660.0,383660.0,383660.0
50,2010-01-01,Sanaag,544123,531602,0.0,0.0,531602.0,0.0,0.0,0.0,0.0,531602.0,0.0,0.0,0.0,0.0,0.0,531602.0,0.0,531602.0,531602.0,531602.0
51,2010-01-01,Sool,327427,319891,0.0,0.0,319891.0,0.0,0.0,0.0,0.0,319891.0,0.0,0.0,0.0,0.0,319891.0,0.0,0.0,319891.0,319891.0,319891.0
52,2010-01-01,Togdheer,721363,704763,0.0,0.0,704763.0,0.0,0.0,0.0,0.0,704763.0,0.0,0.0,0.0,0.0,704763.0,0.0,0.0,704763.0,704763.0,704763.0
53,2010-01-01,Woqooyi Galbeed,1242003,1213425,0.0,0.0,1213425.0,0.0,0.0,0.0,0.0,1213425.0,0.0,0.0,0.0,0.0,1213425.0,0.0,0.0,1213425.0,1213425.0,1213425.0
54,2010-04-01,Awdal,673264,657771,0.0,0.0,657771.0,0.0,0.0,0.0,0.0,657771.0,0.0,0.0,0.0,0.0,657771.0,0.0,0.0,657771.0,657771.0,657771.0
55,2010-04-01,Bakool,367227,358775,0.0,0.0,36785.0,321990.0,0.0,0.0,0.0,36785.0,321990.0,0.0,0.0,0.0,358775.0,0.0,0.0,358775.0,358775.0,358775.0
56,2010-04-01,Banadir,1650228,1612257,0.0,0.0,0.0,1612257.0,0.0,0.0,0.0,0.0,1612257.0,0.0,0.0,0.0,0.0,1612257.0,0.0,1612257.0,1612257.0,1612257.0
57,2010-04-01,Bari,730147,713342,0.0,713342.0,0.0,0.0,0.0,0.0,713342.0,0.0,0.0,0.0,0.0,713342.0,0.0,0.0,0.0,713342.0,713342.0,713342.0
58,2010-04-01,Bay,792182,773952,0.0,773952.0,0.0,0.0,0.0,0.0,773952.0,0.0,0.0,0.0,0.0,773952.0,0.0,0.0,0.0,773952.0,773952.0,773952.0
59,2010-04-01,Galgaduud,569434,556330,0.0,0.0,0.0,556330.0,0.0,0.0,0.0,0.0,556330.0,0.0,0.0,0.0,107341.0,448989.0,0.0,556330.0,556330.0,556330.0
