ADMIN0,date,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,CS_88,ML1_88,ML2_88
Malawi,2009-07-01,13111336.0,686571.9375,171942.21875,13111336.0,686571.9375,171942.21875,13108358.0,531556.4375,157992.421875,171942.21875,0.0,0,0,0.0,0,0,0.0,0,13797907.9375,13969850.15625,13797907.9375,13969850.15625,13797906.859375,13969849.078125,95.024086690461,4.975913309538996,0.0,0.0,0.0,0.0,0.0,0,0.0,13797907.9375,100.0,95.024086690461,4.975913309538996,0.0,0.0,0.0,0.0,0.0,0,0.0,13797907.9375,100.0,95.00251113155988,3.8524425691338355,1.1450462993062742,0.0,0.0,157992.421875,1.1450462993062742,0.0,0.0,13639914.4375,98.85495370069373,1.1450462993062742,0.0,,,
Malawi,2009-10-01,13058796.0,727309.5,183741.9375,13055818.0,346302.78125,183741.9375,13055818.0,71065.28125,659221.125,183741.9375,0.0,0,0,383983.625,0,0,0.0,0,13786105.5,13969847.4375,13786104.40625,13969846.34375,13786104.40625,13969846.34375,94.72432950698078,5.275670493019222,0.0,0.0,0.0,0.0,0.0,0,0.0,13786105.5,100.0,94.70273556089623,2.511969814279093,2.785294624824683,0.0,0.0,383983.625,2.785294624824683,0,0.0,13402120.78125,97.21470537517531,94.70273556089623,0.5154848618278431,4.781779577275932,0.0,0.0,659221.125,4.781779577275932,0.0,0.0,13126883.28125,95.21822042272406,4.781779577275932,2.785294624824683,,,
Malawi,2010-01-01,13620417.0,758878.5625,3992.151123046875,13620417.0,758878.5625,3992.151123046875,14376361.0,2932.77685546875,0.0,3992.151123046875,0.0,0,0,0.0,0,0,0.0,0,14379295.5625,14383287.713623047,14379295.5625,14383287.713623047,14379293.776855469,14383285.927978516,94.72242183769355,5.277578162306447,0.0,0.0,0.0,0.0,0.0,0,0.0,14379295.5625,100.0,94.72242183769355,5.277578162306447,0.0,0.0,0.0,0.0,0.0,0,0.0,14379295.5625,100.0,99.97960416623388,0.020395833766114927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14379293.776855469,100.0,0.0,0.0,,,
Malawi,2010-04-01,13473064.0,906229.5625,3992.151123046875,11042877.0,2597191.25,3992.151123046875,8205248.0,5100974.5,1073071.375,3992.151123046875,0.0,0,0,739226.125,0,0,0.0,0,14379293.5625,14383285.713623047,14379294.375,14383286.526123047,14379293.875,14383286.026123047,93.69767674217758,6.302323257822423,0.0,0.0,0.0,0.0,0.0,0,0.0,14379293.5625,100.0,76.797071622647,18.062021558690013,5.140906818662998,0.0,0.0,739226.125,5.140906818662998,0,0.0,13640068.25,94.859093181337,57.06294113833875,35.474443629451166,7.462615232210072,0.0,0.0,1073071.375,7.462615232210072,0.0,0.0,13306222.5,92.53738476778993,7.462615232210072,5.140906818662998,,,
Malawi,2010-07-01,10957760.0,2682308.25,3992.151123046875,10682721.0,2395820.0,3992.151123046875,8028622.0,5049919.0,1300753.125,3992.151123046875,739226.125,0,0,1300753.125,0,0,0.0,0,14379294.375,14383286.526123047,14379294.125,14383286.276123047,14379294.125,14383286.276123047,76.20513019784394,18.65396298349306,5.140906818662998,0.0,0.0,739226.125,5.140906818662998,0,0.0,13640068.25,94.859093181337,74.2923881181824,16.661596731891038,9.046015149926562,0.0,0.0,1300753.125,9.046015149926562,0,0.0,13078541.0,90.95398485007344,55.83460446811049,35.11938038196295,9.046015149926562,0.0,0.0,1300753.125,9.046015149926562,0.0,0.0,13078541.0,90.95398485007344,3.9051083312635644,3.9051083312635644,,,
Malawi,2010-10-01,12822710.0,1556584.25,3992.151123046875,10277971.0,4101324.25,3992.151123046875,8246304.5,6132988.0,0.0,3992.151123046875,0.0,0,0,0.0,0,0,0.0,0,14379294.25,14383286.401123047,14379295.25,14383287.401123047,14379292.5,14383284.651123047,89.17482163632614,10.825178363673864,0.0,0.0,0.0,0.0,0.0,0,0.0,14379294.25,100.0,71.4775711973784,28.5224288026216,0.0,0.0,0.0,0.0,0.0,0,0.0,14379295.25,100.0,57.348471769386435,42.65152823061357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14379292.5,100.0,0.0,0.0,,,
Malawi,2011-01-01,12168028.433959961,2624074.873046875,4102.489833831787,10745984.510131836,4046118.796875,4102.489833831787,14792103.307006836,0.0,0.0,4102.489833831787,0.0,0,0,0.0,0,0,0.0,0,14792103.307006836,14796205.796840668,14792103.307006836,14796205.796840668,14792103.307006836,14796205.796840668,82.26029917054538,17.739700829454613,0.0,0.0,0.0,0.0,0.0,0,0.0,14792103.307006836,100.0,72.64676487921496,27.353235120785047,0.0,0.0,0.0,0.0,0.0,0,0.0,14792103.307006836,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14792103.307006836,100.0,0.0,0.0,,,
Malawi,2011-04-01,14561959.920288086,230143.38671875,4102.489833831787,12178927.412475586,2383032.5078125,4102.489833831787,8016963.299194336,5064514.66796875,1710625.33984375,4102.489833831787,0.0,0,0,230143.38671875,0,0,0.0,0,14792103.307006836,14796205.796840668,14792103.307006836,14796205.796840668,14792103.307006836,14796205.796840668,98.44414697530044,1.5558530246995632,0.0,0.0,0.0,0.0,0.0,0,0.0,14792103.307006836,100.0,82.33398023056382,16.110166744736613,1.5558530246995632,0.0,0.0,230143.38671875,1.5558530246995632,0,0.0,14561959.920288086,98.44414697530044,54.19758862417354,34.23796172089842,11.564449654928032,0.0,0.0,1710625.33984375,11.564449654928032,0.0,0.0,13081477.967163086,88.43555034507197,11.564449654928032,1.5558530246995632,,,
Malawi,2011-07-01,14796205.796840668,0.0,,14792103.307006836,0.0,4102.489833831787,14792103.307006836,0.0,0.0,4102.489833831787,0.0,0,0,0.0,0,0,0.0,0,14796205.796840668,14796205.796840668,14792103.307006836,14796205.796840668,14792103.307006836,14796205.796840668,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14796205.796840668,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14792103.307006836,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14792103.307006836,100.0,0.0,0.0,,,
Malawi,2011-10-01,11958867.584350586,2833235.72265625,4102.489833831787,11737788.135131836,2899485.28125,4102.489833831787,11535737.127319336,2927531.73828125,328834.44140625,4102.489833831787,0.0,0,0,154829.890625,0,0,0.0,0,14792103.307006836,14796205.796840668,14792103.307006836,14796205.796840668,14792103.307006836,14796205.796840668,80.84629573054576,19.153704269454238,0.0,0.0,0.0,0.0,0.0,0,0.0,14792103.307006836,100.0,79.35171822097668,19.601575388380027,1.0467063906433036,0.0,0.0,154829.890625,1.0467063906433036,0,0.0,14637273.416381836,98.95329360935669,77.98577989821773,19.791179641738406,2.223040460043875,0.0,0.0,328834.44140625,2.223040460043875,0.0,0.0,14463268.865600586,97.77695953995612,2.223040460043875,1.0467063906433036,,,
