,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2,CS_88,ML1_88,ML2_88
19,Southern,Blantyre City,2009-07-01,682673.0,0.0,0.0,682673.0,0.0,0.0,682673.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,682673.0,682673.0,682673.0,682673.0,682673.0,682673.0,,,
20,Southern,Chikwawa,2009-07-01,84610.4609375,389115.75,0.0,84610.4609375,389115.75,0.0,84610.4609375,313252.5,75863.265625,0.0,0.0,0,0,0.0,0,0,0.0,0,473726.2109375,473726.2109375,473726.2109375,473726.2109375,473726.2265625,473726.2265625,,,
21,Southern,Chiradzulu,2009-07-01,307956.125,0.0,637.0552978515625,307956.125,0.0,637.0552978515625,307956.125,0.0,0.0,637.0552978515625,0.0,0,0,0.0,0,0,0.0,0,307956.125,308593.18029785156,307956.125,308593.18029785156,307956.125,308593.18029785156,,,
22,Southern,Machinga,2009-07-01,535025.625,4003.30859375,0.0,535025.625,4003.30859375,0.0,535025.625,4003.30859375,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,539028.93359375,539028.93359375,539028.93359375,539028.93359375,539028.93359375,539028.93359375,,,
23,Southern,Mangochi,2009-07-01,807864.3125,0.0,0.0,807864.3125,0.0,0.0,807864.3125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,807864.3125,807864.3125,807864.3125,807864.3125,807864.3125,807864.3125,,,
24,Southern,Mulanje,2009-07-01,551121.6875,0.0,0.0,551121.6875,0.0,0.0,551121.6875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,551121.6875,551121.6875,551121.6875,551121.6875,551121.6875,551121.6875,,,
25,Southern,Mwanza,2009-07-01,99783.546875,0.0,0.0,99783.546875,0.0,0.0,99783.546875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,99783.546875,99783.546875,99783.546875,99783.546875,99783.546875,99783.546875,,,
26,Southern,Neno,2009-07-01,118560.1796875,0.25838351249694824,0.0,118560.1796875,0.25838351249694824,0.0,118560.1796875,0.0,0.25838351249694824,0.0,0.0,0,0,0.0,0,0,0.0,0,118560.4380710125,118560.4380710125,118560.4380710125,118560.4380710125,118560.4380710125,118560.4380710125,,,
27,Southern,Nsanje,2009-07-01,62751.66015625,189922.234375,0.0,62751.66015625,189922.234375,0.0,59774.69140625,138240.21875,54658.9921875,0.0,0.0,0,0,0.0,0,0,0.0,0,252673.89453125,252673.89453125,252673.89453125,252673.89453125,252673.90234375,252673.90234375,,,
28,Southern,Phalombe,2009-07-01,336895.46875,0.0,1237.32470703125,336895.46875,0.0,1237.32470703125,336895.46875,0.0,0.0,1237.32470703125,0.0,0,0,0.0,0,0,0.0,0,336895.46875,338132.79345703125,336895.46875,338132.79345703125,336895.46875,338132.79345703125,,,
