,date,ADMIN1,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2,CS_88,ML1_88,ML2_88
0,2009-07-01,Central,5877866.5,507.57952880859375,62016.99792480469,5877866.5,507.57952880859375,62016.99792480469,5877866.5,507.57952880859375,0.0,62016.99792480469,0.0,0,0,0.0,0,0,0.0,0,5878374.079528809,5940391.077453613,5878374.079528809,5940391.077453613,5878374.079528809,5940391.077453613,,,
1,2009-07-01,Northern,1770543.53125,0.0,5357.338208347559,1770543.53125,0.0,5357.338208347559,1770543.53125,0.0,0.0,5357.338208347559,0.0,0,0,0.0,0,0,0.0,0,1770543.53125,1775900.8694583476,1770543.53125,1775900.8694583476,1770543.53125,1775900.8694583476,,,
2,2009-07-01,Southern,5462924.62890625,686064.2934291363,104567.89562988281,5462924.62890625,686064.2934291363,104567.89562988281,5459947.66015625,531048.85546875,157992.43014788628,104567.89562988281,0.0,0,0,0.0,0,0,0.0,0,6148988.922335386,6253556.817965269,6148988.922335386,6253556.817965269,6148988.945772886,6253556.841402769,,,
3,2009-10-01,Central,5880977.3125,507.57952880859375,58906.08190917969,5880977.3125,507.57952880859375,58906.08190917969,5880977.3125,0.0,507.57952880859375,58906.08190917969,0.0,0,0,0.0,0,0,0.0,0,5881484.892028809,5940390.973937988,5881484.892028809,5940390.973937988,5881484.892028809,5940390.973937988,,,
4,2009-10-01,Northern,1712164.421875,0.0,63736.440673828125,1712164.421875,0.0,63736.440673828125,1712164.421875,0.0,0.0,63736.440673828125,0.0,0,0,0.0,0,0,0.0,0,1712164.421875,1775900.8625488281,1712164.421875,1775900.8625488281,1712164.421875,1775900.8625488281,,,
5,2009-10-01,Southern,5465655.61328125,726801.8203952312,61099.41857910156,5462678.64453125,345795.2048339844,61099.41857910156,5462678.64453125,71065.28564453125,658713.5547702312,61099.41857910156,0.0,0,0,383983.6332728863,0,0,0.0,0,6192457.433676481,6253556.852255583,6192457.482638121,6253556.901217222,6192457.4849460125,6253556.903525114,,,
6,2010-01-01,Central,6135358.9375,538.112548828125,0.0,6135358.9375,538.112548828125,0.0,6135897.03125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,6135897.050048828,6135897.050048828,6135897.050048828,6135897.050048828,6135897.03125,6135897.03125,,,
7,2010-01-01,Northern,1833865.125,0.0,3992.151123046875,1833865.125,0.0,3992.151123046875,1833865.125,0.0,0.0,3992.151123046875,0.0,0,0,0.0,0,0,0.0,0,1833865.125,1837857.2761230469,1833865.125,1837857.2761230469,1833865.125,1837857.2761230469,,,
8,2010-01-01,Southern,5651191.55859375,758340.4002162516,0.0,5651191.55859375,758340.4002162516,0.0,6406599.3359375,2932.7767219543457,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,6409531.958810002,6409531.958810002,6409531.958810002,6409531.958810002,6409532.112659454,6409532.112659454,,,
9,2010-04-01,Central,6135358.9375,538.112548828125,0.0,6133654.875,2242.186767578125,0.0,6049401.6875,84408.4921875,2086.90625,0.0,0.0,0,0,0.0,0,0,0.0,0,6135897.050048828,6135897.050048828,6135897.061767578,6135897.061767578,6135897.0859375,6135897.0859375,,,
10,2010-04-01,Northern,1833865.125,0.0,3992.151123046875,1833865.125,0.0,3992.151123046875,1833865.125,0.0,0.0,3992.151123046875,0.0,0,0,0.0,0,0,0.0,0,1833865.125,1837857.2761230469,1833865.125,1837857.2761230469,1833865.125,1837857.2761230469,,,
11,2010-04-01,Southern,5503840.477111816,905691.4618617594,0.0,3075356.8911743164,2594949.071899414,0.0,321981.07164764404,5016566.556762695,1070984.4653102458,0.0,0.0,0,0,739226.0747767985,0,0,0.0,0,6409531.938973576,6409531.938973576,6409532.037850529,6409532.037850529,6409532.093720585,6409532.093720585,,,
12,2010-07-01,Central,6049481.59375,86415.4921875,0.0,6049481.59375,84328.578125,0.0,6049401.6875,84408.4921875,2086.90625,0.0,0.0,0,0,2086.90625,0,0,0.0,0,6135897.0859375,6135897.0859375,6135897.078125,6135897.078125,6135897.0859375,6135897.0859375,,,
13,2010-07-01,Northern,1833865.125,0.0,3992.151123046875,1657239.3203125,176625.78425741196,3992.151123046875,1657239.3203125,176625.78425741196,0.0,3992.151123046875,0.0,0,0,0.0,0,0,0.0,0,1833865.125,1837857.2761230469,1833865.104569912,1837857.2556929588,1833865.104569912,1837857.2556929588,,,
14,2010-07-01,Southern,3074413.4879608154,2595892.462524414,0.0,2975999.658065796,2134866.071838379,0.0,321981.07164764404,4788884.71105957,1298666.2912074625,0.0,739226.0747767985,0,0,1298666.2912074625,0,0,0.0,0,6409532.025262028,6409532.025262028,6409532.021111637,6409532.021111637,6409532.073914677,6409532.073914677,,,
15,2010-10-01,Central,6135358.9375,538.112548828125,0.0,6089048.90625,46848.16636657715,0.0,6088813.71875,47083.35386657715,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,6135897.050048828,6135897.050048828,6135897.072616577,6135897.072616577,6135897.072616577,6135897.072616577,,,
