Unnamed: 0,date,ADM1_EN,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2,period_ML1,period_ML2
0,2009-07-01,Addis Ababa,3780729,3106699,3106699.0,0.0,0.0,0.0,0.0,3106699.0,0.0,0.0,0.0,0.0,3106699.0,0.0,0.0,0.0,0.0,3106699.0,3106699.0,3106699.0,Jul - Sep 2009,Oct - Dec 2009
1,2009-07-01,Afar,2015347,1656048,0.0,821915.0,834133.0,0.0,0.0,0.0,821915.0,834133.0,0.0,0.0,0.0,1000301.0,655747.0,0.0,0.0,1656048.0,1656048.0,1656048.0,Jul - Sep 2009,Oct - Dec 2009
2,2009-07-01,Amhara,22808290,18742015,10806944.0,1970051.0,5965020.0,0.0,0.0,10806944.0,1970051.0,5965020.0,0.0,0.0,8648882.0,10093133.0,0.0,0.0,0.0,18742015.0,18742015.0,18742015.0,Jul - Sep 2009,Oct - Dec 2009
3,2009-07-01,Benishangul Gumz,1204954,990132,990132.0,0.0,0.0,0.0,0.0,990132.0,0.0,0.0,0.0,0.0,990132.0,0.0,0.0,0.0,0.0,990132.0,990132.0,990132.0,Jul - Sep 2009,Oct - Dec 2009
4,2009-07-01,Dire Dawa,523623,430270,0.0,430270.0,0.0,0.0,0.0,0.0,430270.0,0.0,0.0,0.0,0.0,430270.0,0.0,0.0,0.0,430270.0,430270.0,430270.0,Jul - Sep 2009,Oct - Dec 2009
5,2009-07-01,Gambela,498214,409390,69925.0,339465.0,0.0,0.0,0.0,69925.0,0.0,339465.0,0.0,0.0,69925.0,339465.0,0.0,0.0,0.0,409390.0,409390.0,409390.0,Jul - Sep 2009,Oct - Dec 2009
6,2009-07-01,Harari,275491,226376,0.0,226376.0,0.0,0.0,0.0,0.0,226376.0,0.0,0.0,0.0,0.0,226376.0,0.0,0.0,0.0,226376.0,226376.0,226376.0,Jul - Sep 2009,Oct - Dec 2009
7,2009-07-01,Oromia,39382119,32361050,13288817.0,3757524.0,15314709.0,0.0,0.0,13288817.0,3757524.0,15314709.0,0.0,0.0,11326824.0,18157807.0,2876419.0,0.0,0.0,32361050.0,32361050.0,32361050.0,Jul - Sep 2009,Oct - Dec 2009
8,2009-07-01,SNNP,16721876,13740684,2013183.0,1312578.0,10414923.0,0.0,0.0,2013183.0,1312578.0,10414923.0,0.0,0.0,2013183.0,9433243.0,2294258.0,0.0,0.0,13740684.0,13740684.0,13740684.0,Jul - Sep 2009,Oct - Dec 2009
9,2009-07-01,Sidama,4432226,3642047,0.0,0.0,3642047.0,0.0,0.0,0.0,0.0,3642047.0,0.0,0.0,0.0,3642047.0,0.0,0.0,0.0,3642047.0,3642047.0,3642047.0,Jul - Sep 2009,Oct - Dec 2009
10,2009-07-01,Somali,6397806,5257198,0.0,0.0,2963427.0,2293771.0,0.0,0.0,0.0,1984567.0,3272631.0,0.0,0.0,1598877.0,1364550.0,2293771.0,0.0,5257198.0,5257198.0,5257198.0,Jul - Sep 2009,Oct - Dec 2009
11,2009-07-01,Tigray,5685598,4671965,384474.0,1975709.0,2311782.0,0.0,0.0,384474.0,1975709.0,2311782.0,0.0,0.0,384474.0,4287491.0,0.0,0.0,0.0,4671965.0,4671965.0,4671965.0,Jul - Sep 2009,Oct - Dec 2009
12,2009-10-01,Addis Ababa,3780729,3106699,3106699.0,0.0,0.0,0.0,0.0,3106699.0,0.0,0.0,0.0,0.0,3106699.0,0.0,0.0,0.0,0.0,3106699.0,3106699.0,3106699.0,Oct - Dec 2009,Jan - Mar 2010
