,date,ADMIN1,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2,pop_ADMIN1
0,Aug 2020,Afar,647322.0,516581.0,313370.0,63280.0,0.0,607531.0,583769.0,285099.0,64155.0,0.0,477041.0,583797.0,426361.0,78274.0,0.0,1540553.0,1540553.0,1565472.0,
1,Oct 2020,Afar,284764.0,508794.0,565628.0,188142.0,0.0,320917.0,469562.0,602883.0,182077.0,0.0,0.0,0.0,0.0,0.0,0.0,1547326.0,1575439.0,0.0,
2,Sep 2019,Afar,620156.0,520182.0,313633.0,59577.0,0.0,472814.0,563785.0,372126.0,104823.0,0.0,586182.0,609137.0,296571.0,44649.0,0.0,1513546.0,1513546.0,1536539.0,
3,Aug 2020,Amhara,3483150.0,1709456.0,682492.0,209264.0,0.0,5171709.0,608437.0,304218.0,0.0,0.0,4341010.0,1188029.0,614339.0,0.0,0.0,6084363.0,6084363.0,6143378.0,
4,Oct 2020,Amhara,6399156.0,1936256.0,1160691.0,7529.0,0.0,5384668.0,2427726.0,1446595.0,348708.0,0.0,1563436.0,1132484.0,597730.0,135399.0,0.0,9503630.0,9607694.0,6852909.0,
5,Sep 2019,Amhara,1763232.0,871185.0,594369.0,229153.0,0.0,1944985.0,1006295.0,396290.0,110366.0,0.0,1578404.0,1000901.0,675364.0,228197.0,0.0,3457931.0,3457931.0,3482860.0,
6,Aug 2020,Oromia,7512571.0,5594669.0,3268079.0,562322.0,0.0,8236536.0,5753830.0,2787069.0,160207.0,0.0,6462340.0,5565310.0,4326308.0,948789.0,0.0,16937642.0,16937642.0,17302746.0,
7,Oct 2020,Oromia,8505251.0,6611608.0,2826139.0,604806.0,0.0,7063983.0,7049251.0,3954723.0,897062.0,0.0,2862607.0,2762593.0,1335173.0,344197.0,0.0,18547802.0,18965016.0,14805176.0,
8,Sep 2019,Oromia,3285839.0,4690268.0,2434230.0,1087290.0,0.0,3404066.0,4821537.0,2377404.0,894620.0,0.0,3112604.0,4439412.0,2862717.0,1301954.0,0.0,11497625.0,11497625.0,11716683.0,
9,Aug 2020,SNNP,3582210.0,2393761.0,1112366.0,315998.0,0.0,3580494.0,2442721.0,1079358.0,301762.0,0.0,3242824.0,2431700.0,1468883.0,394024.0,0.0,7404334.0,7404334.0,7537429.0,
10,Oct 2020,SNNP,6581933.0,3143083.0,1146208.0,246956.0,0.0,5613471.0,3373007.0,1901182.0,437780.0,0.0,1928346.0,1276040.0,591620.0,191763.0,0.0,11118176.0,11325437.0,4830179.0,
11,Sep 2019,SNNP,2898809.0,1631306.0,865174.0,205389.0,0.0,3140333.0,1723761.0,654101.0,82486.0,0.0,2649456.0,1829994.0,958709.0,262780.0,0.0,5600673.0,5600673.0,5700937.0,
12,Aug 2020,Sidama,2065645.0,635583.0,476687.0,0.0,0.0,1906749.0,794479.0,476687.0,0.0,0.0,1617520.0,808760.0,647008.0,161752.0,0.0,3177915.0,3177915.0,3235039.0,
13,Oct 2020,Sidama,2833245.0,531233.0,177078.0,0.0,0.0,2525304.0,721515.0,360758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3541556.0,3607577.0,0.0,
14,Aug 2020,Somali,1906949.0,1955920.0,1153513.0,290677.0,0.0,2039485.0,2084635.0,894807.0,288133.0,0.0,1550122.0,1934893.0,1416565.0,542824.0,0.0,5307061.0,5307061.0,5444400.0,
15,Oct 2020,Somali,2045130.0,2006448.0,968807.0,287985.0,0.0,1502477.0,1967088.0,1436879.0,541570.0,0.0,0.0,0.0,0.0,0.0,0.0,5308369.0,5448015.0,4844806.0,
16,Sep 2019,Somali,1474156.0,1906825.0,1533972.0,243053.0,0.0,1739037.0,1917748.0,1374598.0,126621.0,0.0,1725143.0,1970585.0,1453249.0,131024.0,0.0,5158000.0,5158000.0,5280001.0,
17,Aug 2020,Tigray,316993.0,201723.0,57635.0,0.0,0.0,374628.0,172905.0,28818.0,0.0,0.0,261136.0,261136.0,58030.0,0.0,0.0,576351.0,576351.0,580303.0,
18,Oct 2020,Tigray,1956221.0,1034749.0,346946.0,82624.0,0.0,1341816.0,1344965.0,576315.0,184940.0,0.0,758994.0,1292756.0,617913.0,200865.0,0.0,3420541.0,3448035.0,2870529.0,
19,Sep 2019,Tigray,684330.0,413822.0,369047.0,32106.0,0.0,791235.0,511715.0,181481.0,14873.0,0.0,802984.0,445821.0,250479.0,8100.0,0.0,1499302.0,1499302.0,1507382.0,
