,date,ADMIN1,ADMIN2,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2,pop_ADMIN2
2,Oct 2020,Afar,Zone 1 (awsi rasu),72284.0,144568.0,192758.0,72284.0,0.0,98133.0,147199.0,171732.0,73600.0,0.0,,,,,,481894.0,490664.0,,
3,Oct 2020,Afar,Zone 2 (kilbet rasu),108375.0,130050.0,151725.0,43350.0,0.0,88276.0,110345.0,198620.0,44138.0,0.0,,,,,,433499.0,441378.0,,
4,Oct 2020,Afar,Zone 3 (gabi rasu),37258.0,46573.0,74517.0,27944.0,0.0,47420.0,66388.0,56904.0,18968.0,0.0,,,,,,186292.0,189681.0,,
5,Oct 2020,Afar,Zone 4 (fantana rasu),38809.0,103490.0,90553.0,25872.0,0.0,39512.0,79024.0,118536.0,26341.0,0.0,,,,,,258724.0,263413.0,,
6,Oct 2020,Afar,Zone 5 (hari rasu),28038.0,84113.0,56075.0,18692.0,0.0,47576.0,66606.0,57091.0,19030.0,0.0,,,,,,186917.0,190303.0,,
8,Oct 2020,Amhara,"Central gondar, cluster 1",219893.0,139932.0,39981.0,0.0,0.0,202092.0,141464.0,60628.0,0.0,0.0,161674.0,161674.0,80837.0,0.0,0.0,399805.0,404184.0,404184.0,
9,Oct 2020,Amhara,"East gojam, cluster 1",378046.0,44476.0,22238.0,0.0,0.0,337223.0,67445.0,44963.0,0.0,0.0,292260.0,89926.0,67445.0,0.0,0.0,444760.0,449630.0,449630.0,
10,Oct 2020,Amhara,"North gondar, cluster 1",308619.0,57866.0,19289.0,0.0,0.0,272999.0,78000.0,39000.0,0.0,0.0,233999.0,97500.0,58500.0,19500.0,0.0,385774.0,389998.0,389998.0,
11,Oct 2020,Amhara,"North gondar, cluster 2",269761.0,77075.0,38537.0,0.0,0.0,253235.0,97398.0,38959.0,0.0,0.0,214276.0,97398.0,58439.0,19480.0,0.0,385373.0,389593.0,389593.0,
12,Oct 2020,Amhara,North shewa,1435211.0,287042.0,191361.0,0.0,0.0,1160741.0,386914.0,290185.0,96728.0,0.0,,,,,,1913614.0,1934569.0,1934569.0,
13,Oct 2020,Amhara,North wello,970093.0,298490.0,223868.0,0.0,0.0,754397.0,377199.0,301759.0,75440.0,0.0,,,,,,1492451.0,1508794.0,1508794.0,
14,Oct 2020,Amhara,"Oromia, cluster 1",52705.0,67763.0,22588.0,7529.0,0.0,45670.0,60893.0,30447.0,15223.0,0.0,38058.0,68505.0,30447.0,15223.0,0.0,150585.0,152233.0,152233.0,
15,Oct 2020,Amhara,"Oromia, cluster 2",191711.0,111831.0,15976.0,0.0,0.0,177659.0,113056.0,32302.0,0.0,0.0,129206.0,129206.0,48452.0,16151.0,0.0,319518.0,323016.0,323016.0,
16,Oct 2020,Amhara,"South gondar, cluster 1",492211.0,205088.0,123053.0,0.0,0.0,414668.0,290267.0,124400.0,0.0,0.0,290267.0,331734.0,165867.0,41467.0,0.0,820352.0,829335.0,829335.0,
17,Oct 2020,Amhara,South wello,1771216.0,544990.0,408742.0,0.0,0.0,1515132.0,688696.0,413218.0,137739.0,0.0,,,,,,2724948.0,2754785.0,,
18,Oct 2020,Amhara,"Wag hamra, cluster 1",100950.0,42063.0,25238.0,0.0,0.0,85046.0,51028.0,25514.0,8505.0,0.0,68037.0,51028.0,42523.0,8505.0,0.0,168250.0,170092.0,170092.0,
19,Oct 2020,Amhara,"Wag hamra, cluster 2",208740.0,59640.0,29820.0,0.0,0.0,165806.0,75366.0,45220.0,15073.0,0.0,135659.0,105513.0,45220.0,15073.0,0.0,298200.0,301465.0,301465.0,
21,Oct 2020,Oromia,Arsi,1736127.0,946978.0,315659.0,157830.0,0.0,1452423.0,1129662.0,484141.0,161380.0,0.0,,,,,,3156594.0,3227606.0,3192209.0,
22,Oct 2020,Oromia,Bale,647865.0,566882.0,323933.0,80983.0,0.0,662429.0,496822.0,414018.0,82804.0,0.0,,,,,,1619663.0,1656072.0,1604521.0,
23,Oct 2020,Oromia,Borena,171115.0,171115.0,122225.0,24445.0,0.0,124975.0,149970.0,149970.0,74985.0,0.0,,,,,,488901.0,499899.0,,
24,Oct 2020,Oromia,"East hararge, cluster 1",218458.0,191150.0,109229.0,27307.0,0.0,195450.0,195450.0,139607.0,27921.0,0.0,223372.0,195450.0,111686.0,27921.0,0.0,546144.0,558429.0,558429.0,
25,Oct 2020,Oromia,"East hararge, cluster 2",556174.0,834261.0,370783.0,92696.0,0.0,473905.0,853028.0,473905.0,94781.0,0.0,663466.0,758247.0,379124.0,94781.0,0.0,1853913.0,1895618.0,1895618.0,
26,Oct 2020,Oromia,"East hararge, cluster 3",397177.0,347530.0,198589.0,49647.0,0.0,304584.0,406112.0,253820.0,50764.0,0.0,456876.0,304584.0,203056.0,50764.0,0.0,992943.0,1015279.0,1015279.0,
27,Oct 2020,Oromia,East shewa,751202.0,478038.0,136582.0,0.0,0.0,558614.0,558614.0,209480.0,69827.0,0.0,,,,,,1365822.0,1396535.0,,
28,Oct 2020,Oromia,Guji,710784.0,323084.0,258467.0,0.0,0.0,528562.0,396422.0,396422.0,0.0,0.0,,,,,,1292334.0,1321406.0,1306938.0,
29,Oct 2020,Oromia,"North shewa oromia, cluster 1",426404.0,341123.0,85281.0,0.0,0.0,392397.0,348798.0,87199.0,43600.0,0.0,392397.0,305198.0,130799.0,43600.0,0.0,852808.0,871994.0,871994.0,
30,Oct 2020,Oromia,"North shewa oromia, cluster 2",96659.0,61510.0,17574.0,0.0,0.0,89849.0,71879.0,17970.0,0.0,0.0,80864.0,71879.0,17970.0,8985.0,0.0,175743.0,179697.0,179697.0,
31,Oct 2020,Oromia,"North shewa oromia, cluster 3",267397.0,102845.0,41138.0,0.0,0.0,252380.0,126190.0,42063.0,0.0,0.0,210317.0,147222.0,63095.0,0.0,0.0,411380.0,420633.0,420633.0,
32,Oct 2020,Oromia,West arsi,1176805.0,941444.0,235361.0,0.0,0.0,962628.0,962628.0,481314.0,0.0,0.0,,,,,,2353609.0,2406569.0,,
33,Oct 2020,Oromia,West guji,507153.0,338102.0,225401.0,56350.0,0.0,230472.0,460944.0,288090.0,172854.0,0.0,,,,,,1127007.0,1152361.0,1396940.0,
34,Oct 2020,Oromia,"West hararge, cluster 1",449860.0,578391.0,192797.0,64266.0,0.0,394266.0,525688.0,328555.0,65711.0,0.0,394266.0,591399.0,262844.0,65711.0,0.0,1285314.0,1314221.0,1314221.0,
35,Oct 2020,Oromia,"West hararge, cluster 2",181115.0,241486.0,150929.0,30186.0,0.0,246919.0,216054.0,123459.0,30865.0,0.0,246919.0,216054.0,123459.0,30865.0,0.0,603716.0,617297.0,617297.0,
36,Oct 2020,Oromia,"West hararge, cluster 3",210956.0,147669.0,42191.0,21096.0,0.0,194130.0,150990.0,64710.0,21570.0,0.0,194130.0,172560.0,43140.0,21570.0,0.0,421911.0,431400.0,431400.0,
38,Oct 2020,SNNP,Dawuro,380212.0,116988.0,58494.0,29247.0,0.0,327714.0,178753.0,89376.0,0.0,0.0,,,,,,584941.0,595843.0,,
39,Oct 2020,SNNP,Gamo,849954.0,392287.0,65381.0,0.0,0.0,532799.0,466199.0,266400.0,66600.0,0.0,,,,,,1307622.0,1331998.0,,
40,Oct 2020,SNNP,Gedeo,588409.0,226311.0,90525.0,0.0,0.0,507165.0,230530.0,138318.0,46106.0,0.0,,,,,,905245.0,922118.0,807011.0,
41,Oct 2020,SNNP,Gofa,351083.0,135032.0,54013.0,0.0,0.0,247588.0,192568.0,110039.0,0.0,0.0,,,,,,540128.0,550195.0,,
42,Oct 2020,SNNP,"Guraghe, cluster 1",346691.0,92451.0,23113.0,0.0,0.0,258979.0,117718.0,70631.0,23544.0,0.0,211892.0,141261.0,94174.0,23544.0,0.0,462255.0,470871.0,470871.0,
43,Oct 2020,SNNP,"Guraghe, cluster 2",753534.0,141288.0,47096.0,0.0,0.0,671637.0,191896.0,95948.0,0.0,0.0,575689.0,191896.0,143922.0,47974.0,0.0,941917.0,959482.0,959482.0,
44,Oct 2020,SNNP,"Hadiya, cluster 1",527699.0,307825.0,43975.0,0.0,0.0,492742.0,313563.0,89589.0,0.0,0.0,447947.0,313563.0,134384.0,0.0,0.0,879499.0,895894.0,895894.0,
45,Oct 2020,SNNP,"Hadiya, cluster 2",247592.0,173314.0,74278.0,0.0,0.0,226987.0,176545.0,75662.0,25221.0,0.0,226987.0,176545.0,75662.0,25221.0,0.0,495184.0,504415.0,504415.0,
46,Oct 2020,SNNP,"Halaba special, cluster 1",106404.0,85123.0,21281.0,0.0,0.0,108387.0,65032.0,32516.0,10839.0,0.0,97548.0,75871.0,32516.0,10839.0,0.0,212808.0,216774.0,216774.0,
47,Oct 2020,SNNP,Kembata Tembaro,317057.0,281828.0,70457.0,35229.0,0.0,358852.0,215311.0,107656.0,35885.0,0.0,,,,,,704570.0,717704.0,,
48,Oct 2020,SNNP,Segen,300313.0,386117.0,171607.0,0.0,0.0,305912.0,262210.0,262210.0,43702.0,0.0,,,,,,858037.0,874033.0,,
49,Oct 2020,SNNP,"Siltie, cluster 1",197078.0,39416.0,26277.0,0.0,0.0,160603.0,66918.0,40151.0,0.0,0.0,120497.0,93720.0,40166.0,13389.0,0.0,262770.0,267672.0,267772.0,
50,Oct 2020,SNNP,"Siltie, cluster 2",347503.0,208502.0,104251.0,34750.0,0.0,283184.0,283184.0,106194.0,35398.0,0.0,247786.0,283184.0,70796.0,70796.0,0.0,695005.0,707960.0,707960.0,
51,Oct 2020,SNNP,South omo,240244.0,240244.0,137282.0,68641.0,0.0,244722.0,209762.0,174801.0,69921.0,0.0,,,,,,686411.0,699205.0,,
52,Oct 2020,SNNP,Wolayita,1028160.0,316357.0,158178.0,79089.0,0.0,886200.0,402818.0,241691.0,80564.0,0.0,,,,,,1581784.0,1611273.0,,
54,Oct 2020,Sidama,Sidama,2833245.0,531233.0,177078.0,0.0,0.0,2525304.0,721515.0,360758.0,0.0,0.0,,,,,,3541556.0,3607577.0,,
56,Oct 2020,Somali,Afder,176324.0,205711.0,176324.0,29387.0,0.0,120642.0,241284.0,211123.0,30160.0,0.0,,,,,,587747.0,603209.0,,
57,Oct 2020,Somali,Daawa,164120.0,164120.0,61545.0,20515.0,0.0,84219.0,147383.0,126329.0,63164.0,0.0,,,,,,410301.0,421095.0,421095.0,
58,Oct 2020,Somali,Doolo,210211.0,95551.0,57330.0,19110.0,0.0,156903.0,98064.0,98064.0,39226.0,0.0,,,,,,382202.0,392257.0,392257.0,
59,Oct 2020,Somali,Erer,60339.0,120677.0,48271.0,12068.0,0.0,49541.0,86696.0,74311.0,37155.0,0.0,,,,,,241354.0,247703.0,247703.0,
60,Oct 2020,Somali,Fafan,433750.0,337361.0,144583.0,48194.0,0.0,346235.0,346235.0,197849.0,98924.0,0.0,,,,,,963888.0,989244.0,989244.0,
