ADMIN0,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,source,year,month,trigger_ML1_4_20,trigger_ML1_3_30,trigger_ML1_3_5i,threshold_reached_ML1,trigger_ML2_4_20,trigger_ML2_3_30,trigger_ML2_3_5i,threshold_reached_ML2,trigger_ML1_3_20,trigger_ML1_3_5in,trigger_ML1_4_2half,trigger_ML2_3_20,trigger_ML2_3_5in,trigger_ML2_4_2half,period_ML1,period_ML2
Somalia,1/1/12,8467858.582,3000069.132,1184734.713,,,6668359.944,5422346.813,561955.6703,,,7212209.308,4256427.271,1184025.848,,,,,,12652662.43,12652662.43,12652662.43,12652662.43,12652662.43,12652662.43,,66.92550782,23.71097111,9.363521075,,4184803.845,33.07449218,1184734.713,9.363521075,8467858.582,66.92550782,,52.70321549,42.85538197,4.441402539,,5984302.483,47.29678451,561955.6703,4.441402539,6668359.944,52.70321549,,57.00151529,33.64056613,9.357918582,,5440453.119,42.99848471,1184025.848,9.357918582,7212209.308,57.00151529,9.923992529,14.22229233,FewsNet,2012,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,,
Somalia,4/1/12,6668359.944,4914886.881,1069415.602,,,7746193.297,4798735.95,107733.1797,,,6783173.01,5469406.824,400082.5941,,,,,,12652662.43,12652662.43,12652662.43,12652662.43,12652662.43,12652662.43,,52.70321549,38.84468514,8.452099376,,5984302.483,47.29678451,1069415.602,8.452099376,6668359.944,52.70321549,,61.22184435,37.92668917,0.851466482,,4906469.13,38.77815565,107733.1797,0.851466482,7746193.297,61.22184435,,53.61063767,43.22731959,3.162042743,,5869489.418,46.38936233,400082.5941,3.162042743,6783173.01,53.61063767,-0.907422182,-8.518628861,FewsNet,2012,4,0,1,0,0,0,1,0,0,1,0,0,1,0,1,,
Somalia,7/1/12,7469759.5,5050628.5,132298.9688,,,7746196.5,4798759,107733.1797,,,7752899,4899790.25,,,,,,,12652686.97,12652686.97,12652688.68,12652688.68,12652689.25,12652689.25,,59.03694226,39.91743819,1.045619552,,5182927.469,40.96305774,132298.9688,1.045619552,7469759.5,59.03694226,,61.22174264,37.92679265,0.851464716,,4906492.18,38.77825736,107733.1797,0.851464716,7746196.5,61.22174264,,61.2747128,38.7252872,,,4899790.25,38.7252872,,,7752899,61.2747128,-2.237770545,-2.184800377,FewsNet,2012,7,0,1,0,0,0,1,0,0,1,0,0,1,0,0,,
Somalia,10/1/12,7746193.297,4798735.95,107733.1797,,,12281146.06,371516.3721,,,,10464034.85,2188627.582,,,,,,,12652662.43,12652662.43,12652662.43,12652662.43,12652662.43,12652662.43,,61.22184435,37.92668917,0.851466482,,4906469.13,38.77815565,107733.1797,0.851466482,7746193.297,61.22184435,,97.06372968,2.936270324,,,371516.3721,2.936270324,,,12281146.06,97.06372968,,82.70223682,17.29776318,,,2188627.582,17.29776318,,,10464034.85,82.70223682,-21.48039247,-35.84188533,FewsNet,2012,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,1/1/13,12722247.1,276734.9775,,,,12620520.54,378461.54,,,,12620520.54,378461.54,,,,,,,12998982.08,12998982.08,12998982.08,12998982.08,12998982.08,12998982.08,,97.87110271,2.128897293,,,276734.9775,2.128897293,,,12722247.1,97.87110271,,97.08852941,2.911470589,,,378461.54,2.911470589,,,12620520.54,97.08852941,,97.08852941,2.911470589,,,378461.54,2.911470589,,,12620520.54,97.08852941,0.782573296,0.782573296,FewsNet,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,4/1/13,12620520.54,378461.54,,,157379.3529,12547790.6,293812.127,,,,12722247.1,276734.9775,,,,,,,12998982.08,12998982.08,12998982.08,12998982.08,12998982.08,12998982.08,,97.08852941,2.911470589,,,378461.54,2.911470589,,,12620520.54,97.08852941,1.210705207,96.52902453,2.260270267,,,293812.127,2.260270267,,,12705169.95,97.73972973,,97.87110271,2.128897293,,,276734.9775,2.128897293,,,12722247.1,97.87110271,-0.782573296,-0.651200322,FewsNet,2013,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,7/1/13,12713405.81,128196.9121,,,,12723604.17,275377.9023,,,157379.3529,12547790.6,293812.127,,,157379.3529,,,,12998982.08,12998982.08,12998982.08,12998982.08,12998982.08,12998982.08,1.210705207,97.80308748,0.986207315,,,128196.9121,0.986207315,,,12870785.16,99.01379269,,97.88154256,2.118457435,,,275377.9023,2.118457435,,,12723604.17,97.88154256,1.210705207,96.52902453,2.260270267,,,293812.127,2.260270267,,,12705169.95,97.73972973,1.274062953,1.132250121,FewsNet,2013,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,10/1/13,12566224.82,275377.9023,,,,12364010.47,512642.0092,122329.6016,,,12587992.59,245374.2726,165615.2148,,157379.3529,,,,12998982.08,12998982.08,12998982.08,12998982.08,12998982.08,12998982.08,1.210705207,96.67083736,2.118457435,,,275377.9023,2.118457435,,,12723604.17,97.88154256,,95.11522051,3.94370887,0.941070623,,634971.6107,4.884779493,122329.6016,0.941070623,12364010.47,95.11522051,,96.83829484,1.88764221,1.274062953,,410989.4874,3.161705163,165615.2148,1.274062953,12587992.59,96.83829484,1.043247727,2.766322057,FewsNet,2013,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,1/1/14,13026878.84,202986.5381,127781.2188,,170720.0817,12806933.53,379992.9851,,,,12945976.16,214189.9336,197480.5,,,,,,13357646.59,13357646.59,13357646.59,13357646.59,13357646.59,13357646.59,,97.52375724,1.519628002,0.956614759,,330767.7568,2.476242761,127781.2188,0.956614759,13026878.84,97.52375724,1.278070059,95.87716996,2.844759984,,,379992.9851,2.844759984,,,12977653.61,97.15524002,,96.91809159,1.603500527,1.478407881,,411670.4336,3.081908409,197480.5,1.478407881,12945976.16,96.91809159,0.605665648,0.368517223,FewsNet,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,4/1/14,12695867.3,491059.2078,,,129227.1352,11887683.2,1253407.457,87328.80469,,1284341.45,11847298.64,226006.5039,,,170720.0817,,,,13357646.59,13357646.59,13357646.59,13357646.59,13357646.59,13357646.59,1.278070059,95.04568949,3.676240454,,,491059.2078,3.676240454,,,12866587.39,96.32375955,0.967439394,88.99534146,9.383445268,0.653773882,,1340736.262,10.03721915,87328.80469,0.653773882,12016910.33,89.96278085,9.615027925,88.69300858,1.691963493,,,226006.5039,1.691963493,,,13131640.09,98.30803651,-1.984276961,6.360978696,FewsNet,2014,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,
