,date,CS,admin0Name,admin1Name,admin2Name,ML1,ML2,admin1Name_en,Admin2Name_en,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2
37,2009-07-01,,Somalia,Galgaduud,Ceel Dheer,,,Galgaduud,Ceel Dheer,109870,104434,,,,,,,,,,,,,,,,,,
38,2009-07-01,3.0,Somalia,Hiraan,Belet Weyne,4.0,3.0,Hiraan,Belet Weyne,235214,223578,0.0,0.0,223578.0,0.0,0.0,223578.0,0.0,0.0,0.0,223578.0,0.0,223578.0,0.0,0.0,223578.0,0.0,0.0,223578.0
39,2009-07-01,,Somalia,Hiraan,Bulo Burto,,,Hiraan,Bulo Burto,138283,131442,,,,,,,,,,,,,,,,,,
40,2009-07-01,,Somalia,Hiraan,Jalalaqsi,,,Hiraan,Jalalaqsi,147189,139907,,,,,,,,,,,,,,,,,,
41,2009-07-01,,Somalia,Middle Shabelle,Jowhar,,,Middle Shabelle,Jowhar,179097,170237,,,,,,,,,,,,,,,,,,
42,2009-07-01,,Somalia,Middle Shabelle,Adan Yabaal,,,Middle Shabelle,Adan Yabaal,37781,35911,,,,,,,,,,,,,,,,,,
43,2009-07-01,,Somalia,Middle Shabelle,Balcad,,,Middle Shabelle,Balcad,212261,201760,,,,,,,,,,,,,,,,,,
44,2009-07-01,,Somalia,Middle Shabelle,Cadale,,,Middle Shabelle,Cadale,86896,82597,,,,,,,,,,,,,,,,,,
45,2009-07-01,,Somalia,Lower Shabelle,Marka,,,Lower Shabelle,Marka,198301,188491,,,,,,,,,,,,,,,,,,
46,2009-07-01,,Somalia,Lower Shabelle,Afgooye,,,Lower Shabelle,Afgooye,238655,226848,,,,,,,,,,,,,,,,,,
47,2009-07-01,,Somalia,Lower Shabelle,Baraawe,,,Lower Shabelle,Baraawe,74072,70407,,,,,,,,,,,,,,,,,,
48,2009-07-01,,Somalia,Lower Shabelle,Kurtunwaarey,,,Lower Shabelle,Kurtunwaarey,262317,249340,,,,,,,,,,,,,,,,,,
49,2009-07-01,,Somalia,Lower Shabelle,Qoryooley,,,Lower Shabelle,Qoryooley,292392,277927,,,,,,,,,,,,,,,,,,
50,2009-07-01,,Somalia,Lower Shabelle,Sablaale,,,Lower Shabelle,Sablaale,23447,22287,,,,,,,,,,,,,,,,,,
51,2009-07-01,,Somalia,Lower Shabelle,Wanla Weyn,,,Lower Shabelle,Wanla Weyn,113035,107443,,,,,,,,,,,,,,,,,,
52,2009-07-01,,Somalia,Bay,Baydhaba,,,Bay,Baydhaba,315679,300062,,,,,,,,,,,,,,,,,,
53,2009-07-01,,Somalia,Bay,Buur Hakaba,,,Bay,Buur Hakaba,197198,187442,,,,,,,,,,,,,,,,,,
54,2009-07-01,,Somalia,Bay,Diinsoor,,,Bay,Diinsoor,174932,166278,,,,,,,,,,,,,,,,,,
55,2009-07-01,,Somalia,Bay,Qansax Dheere,,,Bay,Qansax Dheere,104373,99209,,,,,,,,,,,,,,,,,,
56,2009-07-01,,Somalia,Bakool,Xudur,,,Bakool,Xudur,108902,103514,,,,,,,,,,,,,,,,,,
57,2009-07-01,3.0,Somalia,Bakool,Ceel Barde,4.0,3.0,Bakool,Ceel Barde,59129,56203,0.0,0.0,56203.0,0.0,0.0,56203.0,0.0,0.0,0.0,56203.0,0.0,56203.0,0.0,0.0,56203.0,0.0,0.0,56203.0
58,2009-07-01,,Somalia,Bakool,Tayeeglow,,,Bakool,Tayeeglow,73675,70030,,,,,,,,,,,,,,,,,,
59,2009-07-01,,Somalia,Bakool,Waajid,,,Bakool,Waajid,87869,83522,,,,,,,,,,,,,,,,,,
60,2009-07-01,3.0,Somalia,Bakool,Rab Dhuure,4.0,3.0,Bakool,Rab Dhuure,37652,35789,0.0,0.0,35789.0,0.0,0.0,35789.0,0.0,0.0,0.0,35789.0,0.0,35789.0,0.0,0.0,35789.0,0.0,0.0,35789.0
61,2009-07-01,,Somalia,Gedo,Garbahaarey,,,Gedo,Garbahaarey,76952,73145,,,,,,,,,,,,,,,,,,
62,2009-07-01,,Somalia,Gedo,Baardheere,,,Gedo,Baardheere,177384,168608,,,,,,,,,,,,,,,,,,
63,2009-07-01,,Somalia,Gedo,Belet Xaawo,,,Gedo,Belet Xaawo,83116,79004,,,,,,,,,,,,,,,,,,
64,2009-07-01,,Somalia,Gedo,Ceel Waaq,,,Gedo,Ceel Waaq,60046,57075,,,,,,,,,,,,,,,,,,
65,2009-07-01,3.0,Somalia,Gedo,Doolow,4.0,3.0,Gedo,Doolow,41245,39204,0.0,0.0,39204.0,0.0,0.0,39204.0,0.0,0.0,0.0,39204.0,0.0,39204.0,0.0,0.0,39204.0,0.0,0.0,39204.0
66,2009-07-01,3.0,Somalia,Gedo,Luuq,4.0,3.0,Gedo,Luuq,69660,66213,0.0,0.0,66213.0,0.0,0.0,66213.0,0.0,0.0,0.0,66213.0,0.0,66213.0,0.0,0.0,66213.0,0.0,0.0,66213.0
67,2009-07-01,,Somalia,Middle Juba,Bu'aale,,,Middle Juba,Bu'aale,108986,103594,,,,,,,,,,,,,,,,,,
68,2009-07-01,,Somalia,Middle Juba,Jilib,,,Middle Juba,Jilib,174819,166170,,,,,,,,,,,,,,,,,,
69,2009-07-01,,Somalia,Middle Juba,Saakow,,,Middle Juba,Saakow,79116,75202,,,,,,,,,,,,,,,,,,
70,2009-07-01,,Somalia,Lower Juba,Kismaayo,,,Lower Juba,Kismaayo,162733,154682,,,,,,,,,,,,,,,,,,
71,2009-07-01,3.0,Somalia,Lower Juba,Afmadow,3.0,3.0,Lower Juba,Afmadow,172485,163952,0.0,0.0,163952.0,0.0,0.0,163952.0,0.0,0.0,163952.0,0.0,0.0,163952.0,0.0,0.0,163952.0,0.0,0.0,163952.0
72,2009-07-01,3.0,Somalia,Lower Juba,Badhaadhe,2.0,2.0,Lower Juba,Badhaadhe,56178,53398,0.0,0.0,53398.0,0.0,0.0,53398.0,0.0,53398.0,0.0,0.0,0.0,53398.0,0.0,53398.0,0.0,0.0,0.0,53398.0
73,2009-07-01,,Somalia,Lower Juba,Jamaame,,,Lower Juba,Jamaame,97911,93067,,,,,,,,,,,,,,,,,,
74,2009-10-01,4.0,Somalia,Banadir,Banadir,4.0,4.0,Banadir,Banadir,1650228,1568592,0.0,0.0,0.0,1568592.0,0.0,1568592.0,0.0,0.0,0.0,1568592.0,0.0,1568592.0,0.0,0.0,0.0,1568592.0,0.0,1568592.0
75,2009-10-01,3.0,Somalia,Awdal,Borama,3.0,3.0,Awdal,Borama,398609,378890,0.0,0.0,378890.0,0.0,0.0,378890.0,0.0,0.0,378890.0,0.0,0.0,378890.0,0.0,0.0,378890.0,0.0,0.0,378890.0
76,2009-10-01,3.0,Somalia,Awdal,Baki,3.0,3.0,Awdal,Baki,96885,92092,0.0,0.0,92092.0,0.0,0.0,92092.0,0.0,0.0,92092.0,0.0,0.0,92092.0,0.0,0.0,92092.0,0.0,0.0,92092.0
77,2009-10-01,3.0,Somalia,Awdal,Lughaye,3.0,3.0,Awdal,Lughaye,100819,95831,0.0,0.0,95831.0,0.0,0.0,95831.0,0.0,0.0,95831.0,0.0,0.0,95831.0,0.0,0.0,95831.0,0.0,0.0,95831.0
78,2009-10-01,3.0,Somalia,Awdal,Zeylac,3.0,3.0,Awdal,Zeylac,76951,73144,0.0,0.0,73144.0,0.0,0.0,73144.0,0.0,0.0,73144.0,0.0,0.0,73144.0,0.0,0.0,73144.0,0.0,0.0,73144.0
79,2009-10-01,3.0,Somalia,Woqooyi Galbeed,Hargeysa,3.0,3.0,Woqooyi Galbeed,Hargeysa,959081,911635,0.0,0.0,911635.0,0.0,0.0,911635.0,0.0,0.0,911635.0,0.0,0.0,911635.0,0.0,0.0,911635.0,0.0,0.0,911635.0
80,2009-10-01,3.0,Somalia,Woqooyi Galbeed,Berbera,3.0,3.0,Woqooyi Galbeed,Berbera,176008,167300,0.0,0.0,167300.0,0.0,0.0,167300.0,0.0,0.0,167300.0,0.0,0.0,167300.0,0.0,0.0,167300.0,0.0,0.0,167300.0
81,2009-10-01,3.0,Somalia,Woqooyi Galbeed,Gebiley,3.0,3.0,Woqooyi Galbeed,Gebiley,106914,101625,0.0,0.0,101625.0,0.0,0.0,101625.0,0.0,0.0,101625.0,0.0,0.0,101625.0,0.0,0.0,101625.0,0.0,0.0,101625.0
82,2009-10-01,3.0,Somalia,Togdheer,Burco,3.0,3.0,Togdheer,Burco,460354,437580,0.0,0.0,437580.0,0.0,0.0,437580.0,0.0,0.0,437580.0,0.0,0.0,437580.0,0.0,0.0,437580.0,0.0,0.0,437580.0
